GRB,model,episode,t_start_s,t_end_s,t_mid_s,duration_s,Y_value,Y_err,y_label
GRB080916009,SBPL,-0.128_15.040,-0.128,15.04,7.4559999999999995,15.168,333.6780700683594,20.976072311401367,$E_{\rm break}$ (keV)
GRB080916009,SBPL,1.28_15.040,1.28,15.04,8.16,13.76,357.489013671875,27.99910545349121,$E_{\rm break}$ (keV)
GRB080916009,SBPL,1.280_64.256,1.28,64.256,32.768,62.976,271.58380126953125,12.862041473388672,$E_{\rm break}$ (keV)
GRB080916009,SBPL,15.040_52.928,15.04,52.928,33.983999999999995,37.888,258.1889953613281,16.968416213989258,$E_{\rm break}$ (keV)
GRB080916009,SBPL,52.928_60.992,52.928,60.992,56.959999999999994,8.064,125.78590393066406,26.543739318847656,$E_{\rm break}$ (keV)
GRB080916009,SBPL,60.992_64.256,60.992,64.256,62.623999999999995,3.264000000000003,205.0831756591797,80.15113067626953,$E_{\rm break}$ (keV)
GRB080916009,SBPL,60.992_67.904,60.992,67.904,64.448,6.911999999999999,142.83056640625,50.24667739868164,$E_{\rm break}$ (keV)
