simple_pulse,simple_t_peak_s,simple_t_v_s,simple_kept,nearest_complex_pulse,complex_t_peak_s,complex_t_v_s,complex_kept,t_peak_offset_s
1,0.11021139826227494,0.9019918862250809,0.9828,1,0.10434157712039044,0.9305396644354373,0.9853,0.0058698211418845014
2,13.524311033878039,11.654597979711273,1.0,3,14.000010698073444,1.8739925128139723,1.0,0.475699664195405
3,13.996897916527466,1.7949391730704898,1.0,3,14.000010698073444,1.8739925128139723,1.0,0.0031127815459779384
4,29.906741924857315,2.7878970847033413,1.0,4,30.17130336914598,2.1264353898415176,0.8491,0.2645614442886668
5,122.39372589945826,23.250674825151968,0.8891,7,122.02868791208788,24.251502373865964,0.9054,0.3650379873703855
