grb_name,episode,pulse_index,n_pulses_total,fit_window_start_s,fit_window_end_s,energy_low_keV,energy_high_keV,A_norm,A_cts_per_s,y_max_cts_per_s,t_s,tau1,tau2,t_peak_s,t_v_s,t_v_err_lower_s,t_v_err_upper_s,t_v_definition,mc_kept_fraction,n_samples,seed,n_lat_photons_assigned,photon_e_max_MeV,photon_t_arr_at_e_max_s
GRB131014A,EX0,1,5,-1,10,10,400,0.10764203288945787,4745.333110715011,44084.387699999985,-0.6801299026283388,4.736463927778451,0.3111610774862506,0.5338730706968097,0.4398612393325573,0.2313248090734235,0.21232644615154284,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.2125,10000,3733037534,0,,
GRB131014A,EX0,2,5,-1,10,10,400,0.2745269047316325,12102.350502270247,44084.387699999985,0.046601440392526616,25.344683548125637,0.05606570780848216,1.238644905333154,0.17897620644501033,0.09254732350812228,0.07426061010883561,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.1362,10000,3733037534,0,,
GRB131014A,TR1,2,5,-1,10,10,400,0.2745269047316325,12102.350502270247,44084.387699999985,0.046601440392526616,25.344683548125637,0.05606570780848216,1.238644905333154,0.17897620644501033,0.09254732350812228,0.07426061010883561,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.1362,10000,3733037534,0,,
GRB131014A,EX0,3,5,-1,10,10,400,0.9341178707469664,41180.01437150774,44084.387699999985,1.1832335152138767,1.012741437487432,0.3358238707570263,1.7664168051091413,0.38079891065943977,0.01515404073097909,0.01271333746358616,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.9979,10000,3733037534,7,1232.922607421875,1.9835121631622314
GRB131014A,TR1,3,5,-1,10,10,400,0.9341178707469664,41180.01437150774,44084.387699999985,1.1832335152138767,1.012741437487432,0.3358238707570263,1.7664168051091413,0.38079891065943977,0.01515404073097909,0.01271333746358616,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.9979,10000,3733037534,7,1232.922607421875,1.9835121631622314
GRB131014A,TR2,4,5,-1,10,10,400,0.45875295632710456,20223.843185245238,44084.387699999985,2.4705042509819695,0.04738191980389777,1.099443921612677,2.698744833970041,0.5612243761282641,0.02943172332113475,0.029244204611798885,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.9979,10000,3733037534,1,445.27899169921875,2.533198297023773
GRB131014A,EX1,4,5,-1,10,10,400,0.45875295632710456,20223.843185245238,44084.387699999985,2.4705042509819695,0.04738191980389777,1.099443921612677,2.698744833970041,0.5612243761282641,0.02943172332113475,0.029244204611798885,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.9979,10000,3733037534,1,445.27899169921875,2.533198297023773
GRB131014A,TR2,5,5,-1,10,10,400,0.2904758094203136,12805.448199956412,44084.387699999985,2.658479250500718,6.545740339696772,0.13247748600998696,3.5896952427802677,0.2701220646227823,0.06322135330916545,0.033011919426359615,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.7665,10000,3733037534,2,1021.2354125976562,3.183564066886902
GRB131014A,EX1,5,5,-1,10,10,400,0.2904758094203136,12805.448199956412,44084.387699999985,2.658479250500718,6.545740339696772,0.13247748600998696,3.5896952427802677,0.2701220646227823,0.06322135330916545,0.033011919426359615,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.7665,10000,3733037534,2,1021.2354125976562,3.183564066886902
