window,window_start_s,window_stop_s,pulse_index,A_norm,t_s,tau1,tau2,t_peak_s,t_v_s,t_v_err_lower_s,t_v_err_upper_s,mc_kept_fraction,n_samples,seed
narrow_-1_10,-1.0,10.0,1,0.579105611802301,-0.4222610911131199,1.606218642699633,0.7453888049866154,0.6719314854606304,0.7747440507499709,0.3739652481092366,0.23791085356940045,0.5014,10000,12345
narrow_-1_10,-1.0,10.0,2,0.45417962504986775,0.19171230864519795,3.2564596992937145,0.41191550893248463,1.3498946148270425,0.5197204015904484,0.27264592073855465,0.2574366985756158,0.3566,10000,12345
narrow_-1_10,-1.0,10.0,3,0.6735314012445066,-0.9599999962568605,78.95312867485384,0.14830519148149837,2.4618648266412593,0.4886374077421429,0.21200373953471963,0.15208577274672153,0.3718,10000,12345
narrow_-1_10,-1.0,10.0,4,0.4767093144043755,2.518890880209347,3.214806036985466,0.7635125266084031,4.085589536573972,0.904313981121873,0.13855916934628987,0.07830418221004376,0.9395,10000,12345
narrow_-1_10,-1.0,10.0,5,0.12499819258223878,4.608657087917989,0.4286288510953294,2.149529469251253,5.568527051403001,1.344506314332426,0.1776696995137761,0.14428224492202313,0.8959,10000,12345
wide_-10_20,-10.0,20.0,1,0.5773937241991502,-0.42691877325308375,1.6479118131095032,0.7240523549385465,0.6654064663221015,0.7667948653342709,0.34943780136367864,0.19254517102822377,0.6562,10000,12345
wide_-10_20,-10.0,20.0,2,0.4573154654366028,0.16365697126076775,3.618957094986766,0.38120852398203664,1.338211053682784,0.49321258735921725,0.2229113389194219,0.185854851597405,0.4772,10000,12345
wide_-10_20,-10.0,20.0,3,0.6933303150515311,-1.1477458916447716,90.28997133801343,0.14403803058822937,2.4585249874483575,0.5045416831609102,0.20450765826679945,0.11895851008948755,0.4788,10000,12345
wide_-10_20,-10.0,20.0,4,0.4760236513386287,2.5920147266404427,2.591997750645581,0.8639447613251461,4.088458136207544,0.9789310640967837,0.08009640723866507,0.055927482227714265,0.9981,10000,12345
wide_-10_20,-10.0,20.0,5,0.1054277722092238,4.676937584350337,0.2648909025675657,2.580929098638546,5.503777737222256,1.4697486557512016,0.11742178073087972,0.10954200016163762,0.9424,10000,12345
widest_full_range,-138.496,475.84,1,0.5773552837865625,-0.42904725130947946,1.6643924431433184,0.7184484331008116,0.6644700749552437,0.7711387056131246,0.31668272090345795,0.15929099042687378,0.8624,10000,12345
widest_full_range,-138.496,475.84,2,0.45814283981936643,0.16573365407149382,3.595344002612816,0.38226269747583164,1.3380671803311195,0.5057907660192567,0.19464098149049996,0.1336419340841527,0.6704,10000,12345
widest_full_range,-138.496,475.84,3,0.6945543321176931,-1.1957180444231728,93.89651694339211,0.14223524983344138,2.4587852796871417,0.5290039562064048,0.16356677621714888,0.08343669239912122,0.6367,10000,12345
widest_full_range,-138.496,475.84,4,0.47612011133517307,2.6031651008481345,2.5017376525017663,0.8811749956517178,4.08791042078182,0.9964922441687591,0.05060230974717583,0.03798175063113818,1.0,10000,12345
widest_full_range,-138.496,475.84,5,0.10249392960577129,4.6828844598535975,0.24918512343866323,2.6394707541560645,5.493881898620898,1.5020252104991507,0.07399143458678048,0.07115675351211581,0.991,10000,12345
