grb_name,episode,model_name,z,z_source,H0,Om0,Y_ratio,e_min_keV,e_max_keV,kt_bb_keV,kt_bb_err_lower_keV,kt_bb_err_upper_keV,f_bb,f_bb_err_lower,f_bb_err_upper,script_R,Gamma,Gamma_err_lower,Gamma_err_upper,r0_cm,r0_err_lower_cm,r0_err_upper_cm,r_ph_cm,r_ph_err_lower_cm,r_ph_err_upper_cm,r_s_cm,r_s_err_lower_cm,r_s_err_upper_cm,saturated_fraction,n_samples,seed
GRB080916C,T90,SBPL_BB,4.35,spectroscopic,69.6,0.286,1.0,1.0,10000.0,44.46361948397558,2.0240976485196143,2.007398411173547,0.06840540160663917,0.008150948781934689,0.009067002097316298,1.9731074047325768e-19,752.3997586823532,12.261997638281741,13.081870082708406,9199695.903824024,1673832.401600209,2103516.425083006,610220599827.3191,35938724330.223145,33159934730.860962,6927450785.953733,1252847238.9740057,1558391042.0009108,0.0,10000,12345
GRB080916C,EX0,BAND_BB,4.35,spectroscopic,69.6,0.286,1.0,1.0,10000.0,42.514888208915806,3.260390305222103,3.2996668508955906,0.061187836128384854,0.0090527409893204,0.01067671916078368,3.525044878957219e-19,852.1582494487577,25.386008435525127,27.104614169599472,13905809.257151816,3214764.3366984185,3834802.4408049434,1231174955739.71,118579419084.2732,104346023125.87549,11801203496.515461,2624556550.378996,3289385985.8463,0.0,10000,12345
GRB080916C,TR1,BAND_BB,4.35,spectroscopic,69.6,0.286,1.0,1.0,10000.0,39.78378686596943,3.5874266320492367,3.620164116058426,0.05000384065581591,0.008487951648030304,0.009739011304377647,3.9787530295653693e-19,861.442883326926,29.445511963963213,34.1265517554707,11599352.104709808,3093500.5512838624,3645950.4543314036,1404829569375.6382,160682749965.20386,136667576920.26782,9957014295.678661,2563325246.6517534,3083519117.425152,0.0,10000,12345
GRB131014A,T90,BAND_BB,0.5,swept,69.6,0.286,1.0,1.0,10000.0,34.921498789002435,0.7910600461204069,0.8093861996545968,0.0784008916665467,0.0045642655736851945,0.0047678407687829355,1.9357096719077276e-18,276.7534178151245,2.11959967010381,2.21890666309082,100460729.92319085,8752076.407940641,9357584.602052167,1984267955223.3848,46481220027.63086,45119068647.263916,27811822011.628834,2399910847.0462227,2539677143.2496796,0.0,10000,12345
GRB131014A,T90,BAND_BB,0.5503470856261048,swept,69.6,0.286,1.0,1.0,10000.0,34.921498789002435,0.7910600461204069,0.8093861996545968,0.0784008916665467,0.0045642655736851945,0.0047678407687829355,1.9357096719077276e-18,289.6310214614497,2.2182266885376407,2.3221545317569507,105597575.86666173,9199595.236715332,9836064.805615187,2182780277017.6987,51131345472.24487,49632920242.149414,30594202962.913773,2640005373.1370163,2793754323.192688,0.0,10000,12345
GRB131014A,T90,BAND_BB,0.6057638293142942,swept,69.6,0.286,1.0,1.0,10000.0,34.921498789002435,0.7910600461204069,0.8093861996545968,0.0784008916665467,0.0045642655736851945,0.0047678407687829355,1.9357096719077276e-18,303.4819917743996,2.32430852968605,2.433206494765443,110610005.14968306,9636274.963290513,10302956.008909613,2395732557008.3438,56119725068.646484,54475113310.98242,33578976714.09982,2897564582.9743004,3066313297.232197,0.0,10000,12345
GRB131014A,T90,BAND_BB,0.666760716081662,swept,69.6,0.286,1.0,1.0,10000.0,34.921498789002435,0.7910600461204069,0.8093861996545968,0.0784008916665467,0.0045642655736851945,0.0047678407687829355,1.9357096719077276e-18,318.3911669739002,2.43849495268978,2.552742753621942,115435772.21348292,10056692.79323852,10752460.244085193,2623085337324.305,61445434521.31543,59644750645.10254,36765590217.25676,3172540753.4809494,3357303562.9887695,0.0,10000,12345
GRB131014A,T90,BAND_BB,0.7338996338110347,swept,69.6,0.286,1.0,1.0,10000.0,34.921498789002435,0.7910600461204069,0.8093861996545968,0.0784008916665467,0.0045642655736851945,0.0047678407687829355,1.9357096719077276e-18,334.44974065366756,2.5614843912401852,2.6814944648711503,120009887.37325832,10455186.865575865,11178523.937031195,2864566364916.8477,67102096337.82031,65135641647.13623,40150227529.425095,3464604602.997673,3666376662.058281,0.0,10000,12345
GRB131014A,T90,BAND_BB,0.807799049219937,swept,69.6,0.286,1.0,1.0,10000.0,34.921498789002435,0.7910600461204069,0.8093861996545968,0.0784008916665467,0.0045642655736851945,0.0047678407687829355,1.9357096719077276e-18,351.75563306451835,2.694026797164099,2.820246716909537,124266201.44873029,10825994.304793209,11574985.510469764,3119644312964.1255,73077264256.13037,70935704797.90771,43725441487.553925,3773113508.132942,3992852545.870949,0.0,10000,12345
GRB131014A,T90,BAND_BB,0.8891397050194614,swept,69.6,0.286,1.0,1.0,10000.0,34.921498789002435,0.7910600461204069,0.8093861996545968,0.0784008916665467,0.0045642655736851945,0.0047678407687829355,1.9357096719077276e-18,370.41391101663294,2.836926856372827,2.96984189660634,128139269.4156256,11163413.5810152,11935748.976925075,3387509551797.9355,79351972806.05957,77026530418.1792,47479884190.68657,4097088246.7924194,4335694964.278473,0.0,10000,12345
