grb_name,episode,model_name,t_start_s,t_stop_s,e_min_keV,e_max_keV,frame,kt_bb_keV,kt_bb_err_keV,f_bb,f_bb_err_lower,f_bb_err_upper,flux_bb_erg_cm2_s,flux_bb_err_lower_erg_cm2_s,flux_bb_err_upper_erg_cm2_s,flux_total_erg_cm2_s,flux_total_err_lower_erg_cm2_s,flux_total_err_upper_erg_cm2_s,bb_fraction_captured_in_band,z,z_source,H0,Om0,e_min_keV_rest,e_max_keV_rest,f_bb_rest,f_bb_rest_err_lower,f_bb_rest_err_upper,bb_fraction_captured_in_band_rest,n_samples,seed
GRB080916C,T90,SBPL_BB,1.28,64.256,1.0,10000.0,observer,44.452754974365234,2.0511903762817383,0.06810974366650735,0.007941626226531898,0.009514151418054478,1.5422136776144156e-07,2.0515438743109373e-08,2.3326603463145367e-08,2.273709016094224e-06,1.057832851521607e-07,7.358298989874022e-08,0.9999994191178051,4.35,spectroscopic,69.6,0.286,1.0,10000.0,0.09833526126198805,0.01210532623864101,0.014738847436191804,0.9999999947449193,10000,668559939
GRB080916C,EX0,BAND_BB,-0.128,4.864,1.0,10000.0,observer,42.492431640625,3.2692863941192627,0.061435246800423865,0.009126081218367998,0.010710692851485515,4.0564629744258006e-07,6.814271005445164e-08,7.853684687290355e-08,6.68901877853983e-06,5.377351358731372e-07,3.5208491093881356e-07,0.9999993354256977,4.35,spectroscopic,69.6,0.286,1.0,10000.0,0.08953034843634446,0.01394726908503599,0.01783391811986032,0.9999999941932319,10000,668559939
GRB080916C,TR1,BAND_BB,1.28,4.864,1.0,10000.0,observer,39.75551986694336,3.5887789726257324,0.0503873520858525,0.008841528412704726,0.009691142519207885,3.920100285511146e-07,7.730724539274978e-08,8.313706526975238e-08,7.87712265338837e-06,6.133811836115218e-07,4.2903269282142163e-07,0.9999991893173032,4.35,spectroscopic,69.6,0.286,1.0,10000.0,0.07512455815338669,0.014017200215197256,0.01609923318578857,0.9999999932295695,10000,668559939
GRB131014A,T90,BAND_BB,0.96,4.16,1.0,10000.0,observer,34.91935729980469,0.7959309220314026,0.07842369799066906,0.004657820768899812,0.004783758550541792,5.726076033298904e-06,3.4148050061248674e-07,3.451236134004945e-07,7.298916408068275e-05,5.412341175593152e-07,5.572489407931793e-07,0.9999988059388637,0.5,swept,69.6,0.286,1.0,10000.0,0.0794626734985707,0.004674070829696425,0.004843242914255613,0.9999996439167397,10000,668559939
GRB131014A,T90,BAND_BB,0.96,4.16,1.0,10000.0,observer,34.91935729980469,0.7959309220314026,0.07842369799066906,0.004657820768899812,0.004783758550541792,5.726076033298904e-06,3.4148050061248674e-07,3.451236134004945e-07,7.298916408068275e-05,5.412341175593152e-07,5.572489407931793e-07,0.9999988059388637,0.5503470856261048,swept,69.6,0.286,1.0,10000.0,0.07956806347810733,0.004676647269890338,0.004849636103619659,0.9999996772823635,10000,668559939
GRB131014A,T90,BAND_BB,0.96,4.16,1.0,10000.0,observer,34.91935729980469,0.7959309220314026,0.07842369799066906,0.004657820768899812,0.004783758550541792,5.726076033298904e-06,3.4148050061248674e-07,3.451236134004945e-07,7.298916408068275e-05,5.412341175593152e-07,5.572489407931793e-07,0.9999988059388637,0.6057638293142942,swept,69.6,0.286,1.0,10000.0,0.07968841983786387,0.004685516355926317,0.004847169335192386,0.9999997093408307,10000,668559939
GRB131014A,T90,BAND_BB,0.96,4.16,1.0,10000.0,observer,34.91935729980469,0.7959309220314026,0.07842369799066906,0.004657820768899812,0.004783758550541792,5.726076033298904e-06,3.4148050061248674e-07,3.451236134004945e-07,7.298916408068275e-05,5.412341175593152e-07,5.572489407931793e-07,0.9999988059388637,0.666760716081662,swept,69.6,0.286,1.0,10000.0,0.07982049614688093,0.004694978021893351,0.004846785289239305,0.9999997398818732,10000,668559939
GRB131014A,T90,BAND_BB,0.96,4.16,1.0,10000.0,observer,34.91935729980469,0.7959309220314026,0.07842369799066906,0.004657820768899812,0.004783758550541792,5.726076033298904e-06,3.4148050061248674e-07,3.451236134004945e-07,7.298916408068275e-05,5.412341175593152e-07,5.572489407931793e-07,0.9999988059388637,0.7338996338110347,swept,69.6,0.286,1.0,10000.0,0.07996068710282045,0.004700031225082668,0.004857606493553143,0.9999997687244413,10000,668559939
GRB131014A,T90,BAND_BB,0.96,4.16,1.0,10000.0,observer,34.91935729980469,0.7959309220314026,0.07842369799066906,0.004657820768899812,0.004783758550541792,5.726076033298904e-06,3.4148050061248674e-07,3.451236134004945e-07,7.298916408068275e-05,5.412341175593152e-07,5.572489407931793e-07,0.9999988059388637,0.807799049219937,swept,69.6,0.286,1.0,10000.0,0.08012009240006401,0.00471314929210602,0.00485698980874473,0.9999997957216628,10000,668559939
GRB131014A,T90,BAND_BB,0.96,4.16,1.0,10000.0,observer,34.91935729980469,0.7959309220314026,0.07842369799066906,0.004657820768899812,0.004783758550541792,5.726076033298904e-06,3.4148050061248674e-07,3.451236134004945e-07,7.298916408068275e-05,5.412341175593152e-07,5.572489407931793e-07,0.9999988059388637,0.8891397050194614,swept,69.6,0.286,1.0,10000.0,0.08028840145560948,0.004716828919787253,0.004870108396081332,0.9999998207643773,10000,668559939
