model,window,window_start_s,window_stop_s,pulse_index,A_norm,t_s,tau1,tau2,t_peak_s,t_v_s,t_v_err_lower_s,t_v_err_upper_s,mc_kept_fraction,n_samples,seed
SIMPLE,narrow_-1_160,-1.0,160.0,1,0.1457629697752927,-0.29169279745540067,0.09371850636514097,1.7216723957967266,0.1099943511866277,0.9021388770939923,0.06180880811397693,0.06080336914177853,0.9817,10000,12345
SIMPLE,narrow_-1_160,-1.0,160.0,2,0.3778597941173227,4.220613851819713,5.34460858832494,16.19537841241055,13.524266820097374,11.65560643211808,0.1019928732067168,0.10024452172894271,1.0,10000,12345
SIMPLE,narrow_-1_160,-1.0,160.0,3,0.5581507624389686,10.844940886856396,7.216201999844435,1.376738055080127,13.99689582091417,1.794834627901333,0.023528574434974914,0.023107967950891872,1.0,10000,12345
SIMPLE,narrow_-1_160,-1.0,160.0,4,0.23856224387820382,26.422894930609246,4.267721739180419,2.8439351221417977,29.90673243336153,2.78794895606831,0.06354240992619387,0.062143719703431355,1.0,10000,12345
SIMPLE,narrow_-1_160,-1.0,160.0,5,0.0697879911306045,-0.959999999016421,2201.2042638135867,6.912634891847642,122.39364363635254,23.2975614795265,3.2459087809542453,1.1463104481318709,0.8854,10000,12345
SIMPLE,wide_-20_300,-20.0,300.0,1,0.14579020366444476,-0.29171197475143473,0.09384984743358969,1.7203633749323495,0.11010370471831477,0.9040128310303048,0.053749569094564964,0.053025393055951775,0.9914,10000,12345
SIMPLE,wide_-20_300,-20.0,300.0,2,0.3779973797986661,4.214587666294608,5.364069265631699,16.167316169794432,13.527084848798594,11.648352300676056,0.08904831567919302,0.08761459349331346,1.0,10000,12345
SIMPLE,wide_-20_300,-20.0,300.0,3,0.5580341640706141,10.845370954220282,7.216725980946562,1.3761739252019378,13.996794461193922,1.7953462787610408,0.020439196460852793,0.01994404137572059,1.0,10000,12345
SIMPLE,wide_-20_300,-20.0,300.0,4,0.23855211598827572,26.4269884164304,4.241706365405766,2.8534258791521747,29.905981764342023,2.794209410608489,0.05527439072119922,0.054136210266683804,1.0,10000,12345
SIMPLE,wide_-20_300,-20.0,300.0,5,0.07005967969045503,-19.9679999997189,3458.8620183033213,5.87496758283109,122.58270056333595,23.44649127407161,1.9986804182291493,0.781805459099786,0.944,10000,12345
SIMPLE,widest_full_range,-133.184,481.152,1,0.14597686582650732,-0.29180976035432554,0.09483001658007083,1.7112879668722547,0.11103197813831328,0.9029006353997863,0.04755212784325291,0.04716959740529414,0.9963,10000,12345
SIMPLE,widest_full_range,-133.184,481.152,2,0.3787881081502283,4.179114912605708,5.478632914771481,16.004365880254657,13.542984075062474,11.601049034201559,0.08057681347902346,0.07960129204042055,1.0,10000,12345
SIMPLE,widest_full_range,-133.184,481.152,3,0.5573620113411158,10.848030070107603,7.218071640749696,1.3730697780301073,13.99619080704109,1.79283483915709,0.018215132187577643,0.01783046067721883,1.0,10000,12345
SIMPLE,widest_full_range,-133.184,481.152,4,0.23849990976730762,26.45065241127566,4.091929979699735,2.9101854367586255,29.901489271394983,2.817295998029455,0.04956498667551301,0.04872753053452916,1.0,10000,12345
SIMPLE,widest_full_range,-133.184,481.152,5,0.06981925684945192,-133.11762494821986,19559.090960817775,3.363455752479728,123.37045860623456,23.18929580638761,3.7664035885978073,1.1746976071462925,0.8427,10000,12345
