grb_name,ep_type,model_name,e_min_keV,e_max_keV,flux_ph_cm2_s,flux_err_lower_ph_cm2_s,flux_err_upper_ph_cm2_s,fluence_erg_cm2,fluence_err_lower_erg_cm2,fluence_err_upper_erg_cm2,n_samples,seed
GRB080916C,T90,SBPL_BB,7.999999999999999,40000.00000000001,6.629662466784269,0.057644179061363765,0.06632155256822969,2.6437943836256224e-06,8.800489033299745e-08,1.3141647951249716e-07,10000,12345
GRB080916C,EX0,BAND_BB,7.999999999999999,40000.00000000001,13.454669424923832,0.24083267025760868,0.2863477677879711,7.406099296734502e-06,4.2368777221227574e-07,6.170551456304083e-07,10000,12345
GRB080916C,TR1,BAND_BB,7.999999999999999,40000.00000000001,15.147186546279308,0.29374239803234303,0.3724287303716398,8.82373074868934e-06,5.24126117129139e-07,7.133551364185246e-07,10000,12345
GRB080916C,TR2,BAND,7.999999999999999,40000.00000000001,9.354166931358533,0.13996632625867278,0.15456839830522284,4.370170339171447e-06,1.7741360099999819e-07,2.329446562341861e-07,10000,12345
GRB080916C,TR3,SBPL,7.999999999999999,40000.00000000001,5.7440763545852,0.06254986595834033,0.06386902165052621,1.921531374031169e-06,5.045444433076563e-08,5.102694915447726e-08,10000,12345
GRB080916C,TR4,SBPL,7.999999999999999,40000.00000000001,3.8840692162505706,0.2163434547800822,0.17638868803531382,1.0358585319783448e-06,1.1824128692489289e-07,1.0158970018260296e-07,10000,12345
GRB080916C,EX1,SBPL,7.999999999999999,40000.00000000001,2.9429484997587636,0.17620385691059015,0.14037993936620952,6.886066874189684e-07,5.874978223890937e-08,5.5121290718507716e-08,10000,12345
GRB080916C,TR5,SBPL,7.999999999999999,40000.00000000001,3.5190174017918103,0.2344399582805914,0.18495547606653728,7.630955969183843e-07,9.183857303821576e-08,8.31567466540131e-08,10000,12345
GRB140206B,T90,BAND,7.999999999999999,40000.00000000001,6.329786153327244,0.03499218130772075,0.035430580031007075,1.184256106312847e-06,2.3211481227644214e-08,2.4058345974932907e-08,10000,12345
GRB140206B,EX0,BAND_BB,7.999999999999999,40000.00000000001,9.895519479918445,0.16369451611718588,0.1693688379338507,7.430084797109748e-06,3.289546936385049e-07,3.6572216738607444e-07,10000,12345
GRB140206B,TR1,BAND_BB,7.999999999999999,40000.00000000001,15.103756508300588,0.24618854741712148,0.2572493583909612,1.0254433442395359e-05,4.778939446541146e-07,5.343948290508983e-07,10000,12345
GRB140206B,TR2,BAND,7.999999999999999,40000.00000000001,29.175125237881645,0.1889852192818573,0.18196791392816536,8.946182015603727e-06,3.289456343729669e-07,2.7747646261293914e-07,10000,12345
GRB140206B,TR3,BAND,7.999999999999999,40000.00000000001,15.495465407649808,0.2103965025524257,0.22590579795706311,2.213596673162996e-06,1.4665385214152364e-07,1.2085577164638032e-07,10000,12345
GRB140206B,TR4,BAND,7.999999999999999,40000.00000000001,8.372715773418413,0.0837237159279276,0.08495462457540626,9.799260285371105e-07,3.837018397810565e-08,3.4414795825915706e-08,10000,12345
GRB140206B,TR5,PL,7.999999999999999,40000.00000000001,1.7673132043841915,0.06305606422408916,0.06011093742223128,1.2173589036661624e-07,1.1680348015125813e-08,1.0424612303825118e-08,10000,12345
GRB140206B,TR6,CPL,7.999999999999999,40000.00000000001,3.2550903163568243,0.04838474734538245,0.04696763425221562,6.675342881216279e-07,3.6219586090235555e-08,3.671658434422945e-08,10000,12345
GRB131014A,T90,BAND_BB,7.999999999999999,40000.00000000001,224.06543194703318,0.5802347416465352,0.5903891846695046,7.440603522390492e-05,7.181809559581872e-07,6.584020907382613e-07,10000,12345
GRB131014A,EX0,BAND_BB,7.999999999999999,40000.00000000001,153.28116578849722,0.5287170259094864,0.5452486364327171,6.431375396344569e-05,8.152108487074019e-07,7.384910374868815e-07,10000,12345
GRB131014A,TR1,BAND_BB,7.999999999999999,40000.00000000001,254.3805310908453,0.8849844407513103,0.962278088514978,0.0001090117443401102,1.2244451919291661e-06,1.1739824977490757e-06,10000,12345
GRB131014A,EX1,BAND_BB,7.999999999999999,40000.00000000001,92.90183747071845,0.392995428012739,0.43135789262812807,1.8989834172082657e-05,3.3574406276513585e-07,3.002444828725696e-07,10000,12345
GRB131014A,TR2,SBPL_BB,7.999999999999999,40000.00000000001,200.87654126057356,0.8205223989036199,0.8125450637298002,4.499537422238055e-05,6.416985437741039e-07,5.861172609413989e-07,10000,12345
GRB231129C,T90,SBPL_BB,7.999999999999999,40000.00000000001,60.06925003312118,0.2535367118119396,0.2618963971879822,1.1363263625956229e-05,1.1641769724718242e-07,9.55713118375718e-08,10000,12345
GRB231129C,EX0,SBPL_BB,7.999999999999999,40000.00000000001,78.7316438385329,0.39255348337674434,0.4260328254041923,1.92768062674284e-05,2.9483864579129185e-07,2.746631039907378e-07,10000,12345
GRB231129C,TR1,SBPL_BB,7.999999999999999,40000.00000000001,89.17799201170601,0.4747481848214221,0.4963670497644017,1.923829239807235e-05,2.315507756315218e-07,2.0304508441277362e-07,10000,12345
GRB231129C,EX1,SBPL,7.999999999999999,40000.00000000001,27.845190158196527,0.19898523506636323,0.1951705692584902,4.586673099644306e-06,7.845920930899753e-08,7.326012045317784e-08,10000,12345
GRB231129C,TR2,SBPL,7.999999999999999,40000.00000000001,41.10053729151552,0.27816581337688007,0.27636215835767075,7.1898860005147966e-06,1.1748333886935783e-07,1.0746652285423075e-07,10000,12345
