window,window_start_s,window_stop_s,pulse_index,A_norm,t_s,tau1,tau2,t_peak_s,t_v_s,t_v_err_lower_s,t_v_err_upper_s,mc_kept_fraction,n_samples,seed
narrow_-1_10,-1.0,10.0,1,0.10757845236216522,-0.6798144944429144,4.776266834662071,0.306745619470052,0.5305982157318762,0.4311220154226552,0.225177251840647,0.2142353713220581,0.2065,10000,12345
narrow_-1_10,-1.0,10.0,2,0.2756879414517795,-0.028094394050073992,30.455626767507773,0.05275259281840553,1.2394281019616022,0.17314542024363086,0.08735528850750507,0.07846788427729376,0.1269,10000,12345
narrow_-1_10,-1.0,10.0,3,0.9352554003807225,1.1845207912305893,1.0048695807188368,0.33648560782859066,1.7660052292481847,0.3806704237738998,0.014324529818827703,0.012774127243963929,0.9983,10000,12345
narrow_-1_10,-1.0,10.0,4,0.4585660244295067,2.470527585456741,0.04736051801445093,1.0996434045725365,2.698737316344207,0.561528047385188,0.02953063006802925,0.028117943530917566,0.9986,10000,12345
narrow_-1_10,-1.0,10.0,5,0.290481681586945,2.6586319416577773,6.542377592495388,0.13250300955539027,3.5896983843209136,0.26886919015114674,0.05965681537603079,0.033698124990662603,0.7739,10000,12345
wide_-10_20,-10.0,20.0,1,0.10758802931183373,-0.6829898990551466,4.819388083993983,0.3056923783081005,0.5307852882780928,0.42502603218107077,0.19790168767173216,0.150021140982382,0.3416,10000,12345
wide_-10_20,-10.0,20.0,2,0.275736087415635,-0.027563781602625074,30.420842811845798,0.052767218225087446,1.2394102715033373,0.17239569829935175,0.0792082208650164,0.05634183237180013,0.2093,10000,12345
wide_-10_20,-10.0,20.0,3,0.9352972576194603,1.1845452735915103,1.0046029230993678,0.3365321242006722,1.7659927395665842,0.3842507630330651,0.007235299552274255,0.006996305653181878,1.0,10000,12345
wide_-10_20,-10.0,20.0,4,0.4585110015592257,2.470568036372055,0.047281883920918207,1.1003078929863546,2.698657120007048,0.5638529987683188,0.016852535503327992,0.016390566536307438,1.0,10000,12345
wide_-10_20,-10.0,20.0,5,0.2904512266973724,2.6577433912815605,6.563284687130758,0.1323339220489428,3.5897011178828166,0.2818698807140888,0.03199103482825852,0.018790513892845084,0.9078,10000,12345
widest_full_range,-135.936,478.4,1,0.10759805039342749,-0.6817765575323778,4.796177848167338,0.3067863129388952,0.5312369288883059,0.4820761946344349,0.11234543500795757,0.05008060675211329,0.8596,10000,12345
widest_full_range,-135.936,478.4,2,0.2755397386244798,-0.014256052796224543,29.462043645062856,0.05333588651611912,1.2392925965931882,0.1913177842503102,0.06555274685088217,0.023387908120434037,0.6505,10000,12345
widest_full_range,-135.936,478.4,3,0.9350832566987258,1.1843897881008913,1.0056110157446456,0.33645163969967223,1.7660593464820558,0.38617617542948285,0.0016844998024849733,0.001730137302208612,1.0,10000,12345
widest_full_range,-135.936,478.4,4,0.4585293152769247,2.4705659986457262,0.04728370948064352,1.1002904117054033,2.6986576735736287,0.5650241818597006,0.004320300509828234,0.004240996656540763,1.0,10000,12345
widest_full_range,-135.936,478.4,5,0.2904507327926567,2.6576595263432288,6.565032848340087,0.13232316170572572,3.58970346478943,0.29438702460113186,0.004324247589623742,0.0038599152811787385,1.0,10000,12345
