grb_name,fit_method,episode,pulse_index,n_pulses_total,fit_window_start_s,fit_window_end_s,energy_low_keV,energy_high_keV,detectors,A_norm,A_cts_per_s,y_max_cts_per_s,t_s,tau1,tau2,t_peak_s,t_v_s,t_v_err_lower_s,t_v_err_upper_s,t_v_definition,mc_kept_fraction,n_samples,seed,n_lat_photons_assigned,photon_e_max_MeV,photon_t_arr_at_e_max_s
GRB140206B,normalized,TR2,1,7,-133.184,481.152,10,400,n0+n1+n3,0.3922564481578494,5114.309157375942,13038.177399999997,0.33379096798797514,33.75104111371942,4.316959763649519,12.40449461231656,6.162953369198642,0.4040909553479004,0.3249154508436831,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",1.0,10000,12345,11,225.2994842529297,7.557676911354065
GRB140206B,normalized,TR2,2,7,-133.184,481.152,10,400,n0+n1+n3,0.5820483821533438,7588.850061898288,13038.177399999997,10.407618141719956,14.685506502199102,0.8678062167534368,13.977516437019332,1.4713201094289379,0.09393578430181204,0.057279656068973894,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.9965,10000,12345,1,102.34365844726562,13.31362271308899
GRB140206B,normalized,TR2,3,7,-133.184,481.152,10,400,n0+n1+n3,0.18757613274430773,2445.6508947262323,13038.177399999997,13.64771953017046,10.861898211115976,1.2983741772756796,17.403090104895394,1.7903322260586991,0.24669971581511185,0.18497499105101856,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.9334,10000,12345,0,,
GRB140206B,normalized,TR3,4,7,-133.184,481.152,10,400,n0+n1+n3,0.11490152887028447,1498.10651694199,13038.177399999997,19.891899416394246,0.5883251238774916,27.74258091668518,23.931906514715998,12.947132034241527,0.7955749968575923,0.789195495170155,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.9953,10000,12345,8,753.1128540039062,23.997965037822723
GRB140206B,normalized,TR3,5,7,-133.184,481.152,10,400,n0+n1+n3,0.07551453857540295,984.5719502252467,13038.177399999997,23.287202936519726,0.042878964347845064,8.401800288857393,23.88741997646747,3.320571735370848,1.106895275106401,1.0691079060685889,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.8387,10000,12345,0,,
GRB140206B,normalized,TR4,6,7,-133.184,481.152,10,400,n0+n1+n3,0.25156857271470356,3279.995679319104,13038.177399999997,26.735565821543513,2.3844793732294107,4.250157044480449,29.919024915917007,3.3925580081245457,0.10419423974323294,0.09654518830832926,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",1.0,10000,12345,5,281.6416015625,33.09267407655716
GRB140206B,normalized,TR6,7,7,-133.184,481.152,10,400,n0+n1+n3,0.0682723078443707,890.1464611823166,13038.177399999997,58.28608796202423,365.6248517669074,11.030873958728607,121.79326595018227,22.07890879198033,0.6813177152112786,0.531106606435273,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.9991,10000,12345,7,525.9974365234375,105.48563891649246
