grb_name,fit_method,episode,pulse_index,n_pulses_total,fit_window_start_s,fit_window_end_s,energy_low_keV,energy_high_keV,detectors,A_norm,A_cts_per_s,y_max_cts_per_s,t_s,tau1,tau2,t_peak_s,t_v_s,t_v_err_lower_s,t_v_err_upper_s,t_v_definition,mc_kept_fraction,n_samples,seed,n_lat_photons_assigned,photon_e_max_MeV,photon_t_arr_at_e_max_s
GRB140206B,normalized,,1,7,-133.184,481.152,10,400,n0+n1+n3,0.1882013433789713,2453.8025018933427,13038.177399999997,-0.000664666606321412,0.00010000000000000002,1.5127685940114555,0.011634799211393826,0.5909010325621135,0.04155674637667972,0.04003027472608811,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.5063,10000,12345,0,,
GRB140206B,normalized,TR2,2,7,-133.184,481.152,10,400,n0+n1+n3,0.41920680289012047,5465.692663368222,13038.177399999997,0.5556588113773071,29.818591336223207,5.36496212699988,13.203805442379188,7.08491269723427,0.21556467876157726,0.18047793358544784,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",1.0,10000,12345,13,753.1128540039062,23.997965037822723
GRB140206B,normalized,TR2,3,7,-133.184,481.152,10,400,n0+n1+n3,0.5136776663165078,6697.420539852632,13038.177399999997,11.635072197446753,2.7326388152424888,1.942428857735882,13.938972475778305,1.8832393671499918,0.0454159290533116,0.04065570213200975,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",1.0,10000,12345,1,102.34365844726562,13.31362271308899
GRB140206B,normalized,TR4,4,7,-133.184,481.152,10,400,n0+n1+n3,0.10465725570083624,1364.539866024664,13038.177399999997,19.1745264950454,4.465366027568526,22.18922573780222,29.12857164200104,14.494741908651957,0.6250534887093391,0.6291505310272729,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",1.0,10000,12345,6,576.2476196289062,27.49840635061264
GRB140206B,normalized,TR3,5,7,-133.184,481.152,10,400,n0+n1+n3,0.05097963732519046,664.6815552334946,13038.177399999997,23.25662590222822,0.16207831272361192,1.9285958875759783,23.815717636547383,1.0210402771232983,0.292875068406259,0.28244424396401646,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.8003,10000,12345,0,,
GRB140206B,normalized,TR4,6,7,-133.184,481.152,10,400,n0+n1+n3,0.25071965597647594,3268.9273522882627,13038.177399999997,26.641801491709973,2.7571254575916058,3.8534359873329884,29.901311648140755,3.232799657925173,0.09549621071574954,0.08876134216459608,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",1.0,10000,12345,5,281.6416015625,33.09267407655716
GRB140206B,normalized,TR6,7,7,-133.184,481.152,10,400,n0+n1+n3,0.0693266694257634,903.8934145242591,13038.177399999997,43.529390281024256,648.6885824261233,9.505532365922182,122.05410177782437,22.64892609267108,0.7823433497214225,0.5228974130173114,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.9974,10000,12345,7,525.9974365234375,105.48563891649246
