grb_name,fit_method,episode,pulse_index,n_pulses_total,fit_window_start_s,fit_window_end_s,energy_low_keV,energy_high_keV,detectors,A_norm,A_cts_per_s,y_max_cts_per_s,t_s,tau1,tau2,t_peak_s,t_v_s,t_v_err_lower_s,t_v_err_upper_s,t_v_definition,mc_kept_fraction,n_samples,seed,n_lat_photons_assigned,photon_e_max_MeV,photon_t_arr_at_e_max_s
GRB140206B,unnormalized_xscale,,1,8,-133.184,481.152,10,400,n0+n1+n3,0.18761714938779608,2446.185677000386,13038.177399999997,-0.0006789728570479636,0.00010000000000000002,1.5227483352691766,0.011660996086467158,0.5943949392486583,0.04112815280013027,0.040033315551090576,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.5036,10000,12345,0,,
GRB140206B,unnormalized_xscale,TR2,2,8,-133.184,481.152,10,400,n0+n1+n3,0.3873433931442976,5050.2518745332945,13038.177399999997,-0.25565856694238137,44.27990222307136,3.4447333207682473,12.09474444786543,5.51530479227375,0.39308131832997706,0.2914227986991049,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.9999,10000,12345,9,225.2994842529297,7.557676911354065
GRB140206B,unnormalized_xscale,TR2,3,8,-133.184,481.152,10,400,n0+n1+n3,0.5989832458613804,7809.649819168492,13038.177399999997,9.62391772049626,30.414241807268564,0.6174751117338545,13.957511766809738,1.2836472251178574,0.305524846249165,0.11979765667836362,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.8602,10000,12345,1,102.34365844726562,13.31362271308899
GRB140206B,unnormalized_xscale,TR2,4,8,-133.184,481.152,10,400,n0+n1+n3,0.2591544312963854,3378.901449238384,13038.177399999997,11.853743499091326,28.945535540308335,1.0549669359103981,17.37973507864016,1.9017891766584685,0.3048657829702015,0.20211162206283917,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.8332,10000,12345,2,117.7032241821289,17.935024082660675
GRB140206B,unnormalized_xscale,TR3,5,8,-133.184,481.152,10,400,n0+n1+n3,0.1473972418641979,1921.7913876961184,13038.177399999997,19.80637464919707,0.6730642312473124,23.548042567920895,23.787498255461596,11.4296894678899,0.5098357549704016,0.49489588993024825,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.9999,10000,12345,8,753.1128540039062,23.997965037822723
GRB140206B,unnormalized_xscale,TR3,6,8,-133.184,481.152,10,400,n0+n1+n3,0.0764973213609058,997.3856465282989,13038.177399999997,23.283898262680488,0.05020869667077838,6.765029000454519,23.86670465339085,2.756899921503924,0.8499039938583812,0.816666623247909,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.8867,10000,12345,0,,
GRB140206B,unnormalized_xscale,TR4,7,8,-133.184,481.152,10,400,n0+n1+n3,0.25132304456915877,3276.794439800798,13038.177399999997,26.670812168340213,2.6791592756123235,3.9338626273140243,29.9172632378857,3.26498039180317,0.09627805383019838,0.09180956885678304,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",1.0,10000,12345,5,281.6416015625,33.09267407655716
GRB140206B,unnormalized_xscale,TR6,8,8,-133.184,481.152,10,400,n0+n1+n3,0.0691463935475651,901.542945643369,13038.177399999997,56.5736886507554,376.7837782422352,11.189039170535851,121.50325397792253,22.523425843686894,0.5934833394629102,0.48343208604040555,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.9997,10000,12345,7,525.9974365234375,105.48563891649246
