pulse_index,amplitude,amplitude_err,t_peak_s,t_peak_err_s,t_v_s,t_v_err_s,r0
1,4439.761717557567,341.57626205714485,0.21496946356769817,0.019579831908888175,0.28528623005955894,0.030496025409016622,2.26030302714192
2,34324.59582330395,1426.7727177844154,1.7410356266288398,0.03368588366799023,0.9099278449793398,0.01965605431808408,10000.0
3,85144.47886846102,1465.4681083495368,1.8003264254983278,0.004317639848472854,0.32672850677958293,0.005724218002649193,3014.1625298773906
4,49289.32845741839,1914.1009611726522,2.754936070646354,0.008679764974451236,0.30619824026292697,0.011624364523668274,4.641588833612779
5,41005.10821077867,1261.653385429831,3.610046138063586,0.028820416979429792,0.7132665004658838,0.01183361380615864,442.4185553847919
