t,y_data,sigma,y_total_fit,y_pulse1,y_pulse2,y_pulse3,y_pulse4,y_pulse5
-1.024,-105.95569999999952,213.76547259492634,6.411477920814375,0.0,6.411477920814375,0.0,0.0,0.0
-0.96,-435.80030000000033,201.27560797108828,10.122195800936698,0.0,10.122195800936698,0.0,0.0,0.0
-0.896,208.7035000000019,225.03564028801864,15.725089958180641,0.0,15.725089958180641,2.2611537640806645e-284,0.0,0.0
-0.832,287.4769999999994,227.77160941503078,24.047744102391995,0.0,24.047744102391995,7.373763689984545e-206,0.0,0.0
-0.768,130.28560000000243,222.27562154337718,36.21382686200722,0.0,36.21382686200722,1.4877020492410745e-157,0.0,0.0
-0.704,-121.20129999999926,213.19133938589835,53.72108040607485,0.0,53.72108040607485,6.437377753955958e-125,0.0,0.0
-0.64,-403.5729999999994,202.53169955175596,78.52937099234731,0.0,78.52937099234731,1.8844204586726365e-101,0.0,0.0
-0.576,-152.2809999999995,212.04736188564962,113.15637281168244,0.0,113.15637281168244,8.190250034504577e-84,0.0,0.0
-0.512,-356.6164999999978,204.32749796158208,160.7769120132191,0.0,160.7769120132191,4.1385233472902655e-70,0.0,0.0
-0.448,-105.56979999999976,213.7440825708058,225.32029364294044,0.0,225.32029364294044,3.462021766613894e-59,0.0,0.0
-0.384,68.47009999999909,220.0837225968317,311.5581972645361,0.0,311.5581972645361,2.651532424937128e-50,0.0,0.0
-0.32,-9.831000000000131,217.2755910309117,425.1741255311743,0.0,425.1741255311743,5.8779347364467896e-43,0.0,0.0
-0.256,68.37700000000177,220.06801487254623,572.8041241226304,0.0,572.8041241226304,8.4195620060373e-37,0.0,0.0
-0.192,-88.88979999999992,214.3677036767522,762.037777202196,0.0,762.037777202196,1.3881858738808193e-31,0.0,4.137163677118743e-300
-0.128,587.9001999999987,237.9152943114828,1002.7173309706382,1.3488013721507968,1001.3685295984874,4.0328263396864624e-27,0.0,1.6778998547705743e-182
-0.064,2179.3159,285.789836066906,1674.2112856130202,374.12791287266805,1300.0833727403522,2.8452551525072636e-23,0.0,5.86162614063182e-128
0.0,3413.2531000000004,318.1076008134144,3376.7841166003113,1708.700142722026,1668.0839738782854,6.237126187652955e-20,0.0,1.611925232496834e-96
0.064,5742.935900000001,371.63353137385826,5247.853927448831,3132.2194668854595,2115.6344605633717,5.149046505174059e-17,0.0,4.261575338749576e-76
0.128,6695.397899999998,391.44131215823523,6702.812318957332,4049.7770948810107,2653.035224076321,1.8642478561105332e-14,0.0,8.75911273214491e-62
0.192,8673.7031,429.86436110574124,7706.439742519968,4416.212650484796,3290.227092035169,3.3449667699430873e-12,0.0,3.2783924043726115e-51
0.256,10925.178899999999,469.81958515516703,8412.205856795274,4375.870111311125,4036.33574548382,3.284498536141977e-10,0.0,4.3015846839817445e-43
0.32,12594.237799999999,497.5060929936966,8985.742231278802,4086.570304718893,4899.171926540765,1.9145334453337186e-08,0.0,1.1298551525804711e-36
0.384,13350.116899999994,509.5675076512027,9554.528833658771,3669.820494916058,5884.708338034084,7.086285497032623e-07,0.0,1.7723485574618577e-31
0.448,12995.35070000001,503.92320582281116,10203.553960669078,3206.9952569079705,6996.558686143216,1.7617892922133512e-05,0.0,3.412695138972334e-27
0.512,12528.7464,496.4162541527071,10983.311239290182,2747.823342936472,8235.487587881564,0.0003084721461431043,0.0,1.3221376348605227e-23
0.576,12145.034400000008,490.1991593621507,11918.95772867064,2319.972119010547,9598.981650358097,0.0039593019966591815,0.0,1.4628281979335048e-20
0.64,13994.6102,519.6524347989296,13017.696181521338,1936.7459989375511,11080.911633131434,0.038549452353388206,0.0,5.965700444691056e-18
0.704,13913.789400000005,518.3846641870953,14274.188010290301,1602.581726183603,12671.313082652387,0.29320145431038946,0.0,1.0847359458736109e-15
0.768,11748.077400000006,483.7154562630097,15674.838429026122,1316.743451822218,14356.308205931402,1.7867712725012068,0.0,1.0164128920586373e-13
0.832,10667.764599999999,465.3680762418568,17202.81478655883,1075.7113519583459,16118.185236744202,8.918197856273427,0.0,5.490404405897059e-12
0.896,12786.638799999995,500.57325264478135,18847.481536980828,874.6744157444115,17935.643519595746,37.16360164048457,0.0,1.8673775783360236e-10
0.96,21836.008299999998,630.3013990176703,20624.120507669184,708.4293612861642,19784.20351410271,131.48763227601881,0.0,4.290372377098919e-09
1.024,24171.496499999987,659.8505044889299,22609.52855295269,571.8954926575033,21636.77152503244,400.86153519227025,0.0,7.047618396504759e-08
1.088,29999.5585,729.0769579709175,24991.59909307991,460.3867618468814,23464.339857506784,1066.8724728593031,0.0,8.669366110571076e-07
1.152,34583.820100000004,779.5068745139646,28114.152216863244,369.73419779685446,25236.79493857226,2507.623072197453,0.0,8.296676077651187e-06
1.216,45615.153300000005,891.0518997719308,32479.226475837942,296.3191445988249,26923.7993239784,5259.107943496985,0.0,6.376373260921665e-05
1.28,45110.509099999996,885.9769655004933,38665.07817393127,237.0559098354032,28495.708893664454,9932.312966275922,0.0,0.00040415549650311896
1.344,33618.924699999996,769.1445338286592,47145.15478917442,189.34803668623883,29924.484247013672,17031.320344820942,0.0,0.002160653568220549
1.408,45457.83970000001,889.5101448611572,58047.99687442344,151.0330403754773,31184.555476182974,26712.39842714777,0.0,0.00993071722301741
1.472,79670.8021,1179.950587390259,70951.30646628498,120.32441058294832,32253.602074552156,38577.34009379565,0.0,0.03988735423249235
1.536,95563.88009999998,1296.9077062245105,84816.81287222425,95.75584037012335,33113.21450381444,51607.700537015546,0.0,0.14199102413428027
1.6,114301.03049999996,1425.5389762463103,98127.4140607155,76.13023912768996,33749.41052356243,64301.419829330414,0.0,0.4534686949579338
1.664,117077.21960000001,1445.0478609040376,109202.98531612616,60.47461754167111,34152.98729336162,74988.21031139592,0.0,1.313093826948375
1.728,127340.42109999999,1511.204544050457,116591.7685147178,48.00106349329777,34319.69893159592,82220.58893392704,0.0,3.4795857015415006
1.792,130030.37509999998,1527.2780467375474,119402.76578250692,38.07354031420468,34250.258077025486,85105.92724100637,0.0,8.506924160859304
1.856,112574.04009999997,1412.3928848976327,117474.09776309168,30.179989923965717,33950.16849014056,83474.4232733002,0.0,19.326009726946662
1.92,97834.21990000001,1311.64865766519,111342.24782015341,23.909120274121214,33429.40335674127,77847.87812721268,0.0,41.05721592534549
1.984,102060.23699999998,1341.2263639452806,102050.07799783656,18.931239496936392,32701.950315132326,69247.16896458376,0.0,82.02747862354232
2.048,96334.6559,1300.7568527801536,90876.19664385586,14.982530236413243,31785.24903595719,58921.07255243817,0.0,154.89252522409245
2.112,95248.32999999997,1293.1950669703128,79073.5165704342,11.852213070557157,30699.550281161282,48084.43029635796,0.0,277.68377984440764
2.176,94420.32830000002,1287.101697876203,67679.27360572311,9.372113204424876,29467.226722157364,37728.142113676426,0.0,474.53265668489
2.24,72648.39480000002,1123.8495221183284,57420.822680984915,7.408211162811936,28112.065488216285,28525.5521530159,2.4855705628072802e-104,775.7968285899175
2.304,46591.0885,900.0447701155275,48708.53256616694,5.853821269244172,26658.570622758965,20826.548197900614,0.21762459564510325,1217.3422996424788
2.368,28754.1524,714.7339745958815,42138.719138313136,4.624098866799352,25131.30059961705,14711.438432894405,452.5284786219839,1838.8275283128967
2.432,27152.434700000005,696.0021551124099,41758.1907110824,3.6516275692236984,23554.26209378327,10072.256217936738,5447.039848705017,2680.9809230881483
2.496,49373.45460000003,925.71207514233,49369.63925392404,2.882881235953258,21950.376633678265,6695.082394152773,16939.26192728346,3782.0354175735897
2.56,78458.39189999997,1169.4409421776352,60163.657635273004,2.275392225653851,20341.03190445227,4327.287908815602,30319.413077460362,5173.649352319118
2.624,91272.36359999998,1264.4123300979888,69390.05797819464,1.795488420982268,18745.72462087737,2723.537059643336,41042.23373006456,6876.767079188403
2.688,75425.12169999999,1145.660241637429,75057.99579621665,1.416487245699617,17181.7973014003,1671.4485485281355,47305.40424509901,8897.929213943517
2.752,69880.34000000001,1101.5984971133676,77179.29518162883,1.1172561335079536,15664.267158753191,1001.4764272654686,49285.9153431404,11226.518996336263
2.816,70025.55919999997,1102.6653557369625,76619.56049965021,0.8810663340746157,14205.741827771211,586.5250484815408,47993.0809435499,13833.331613513477
2.88,64478.04870000002,1057.5870176979602,74392.10084362482,0.6946811685623003,12816.41387087095,336.13043784244235,44568.166135526364,16670.695718216502
2.944,74271.13110000003,1136.5864564840401,71347.9430642744,0.5476314133341849,11504.123974665676,188.69122247591181,39980.391957185726,19674.18827853375
3.008,62898.72130000004,1044.303574332662,68089.160069438,0.4316398605310288,10274.481467915037,103.85739512493383,34944.593514073546,22765.796052463953
3.072,59062.49040000001,1012.0003817024876,64983.15686307568,0.34016467195408795,9131.030201983738,56.09945011929415,29937.469820084632,25858.217226216064
3.136,55117.597700000035,977.6314183488186,62212.20567578082,0.26803723881203484,8075.4478605639115,29.763571603790478,25246.84074289694,28859.885463477363
3.2,55418.106100000026,980.327472396521,59827.885717782345,0.21117515941609682,7107.7673055937275,15.522603229548633,21024.138371521803,31680.246262277848
3.264,55404.15229999996,980.372447744511,57798.495466476306,0.16635487689541384,6226.609510235083,7.963877280992665,17328.933248335554,34234.82247574778
3.328,65587.92150000001,1067.0064106816926,56046.109043624194,0.13103166580780365,5429.418864157032,4.022291627476683,14162.87288136028,36449.6639748136
