pulse_index,hint_center,r0,amplitude,amplitude_err,t_peak_s,t_peak_err_s,t_v_s,t_v_err_s
1,0.5,2.26030302714192,13159.927059465563,168.31865457130374,0.5276454386060789,0.016442734857037563,0.6348049864066997,0.021405320607148844
2,1.3,10000.0,22638.57141173202,616.8331343343215,1.1368324600744744,0.0044053863372728016,0.14125071042942572,0.0050646609337056505
3,2.0,3014.1625298773906,124041.52916658143,694.6468631521567,1.8011985501804275,0.0025864562684910566,0.3503890538274236,0.0027482076169013043
4,2.7,4.641588833612779,53046.747140181076,986.0476013437782,2.626226466795357,0.0023587801805135394,0.15270080579119946,0.0038434583730866225
5,3.5,442.4185553847919,60549.39424316045,373.46237462645564,3.363464686957148,0.008639777273337637,0.7344475371879184,0.0054754190675571236
