pulse_index,amplitude,amplitude_err,t_peak_s,t_peak_err_s,t_v_s,t_v_err_s,r0
1,19411.665649466024,344.1571766347007,1.577955850481268,0.008232170904160958,1.7693222159193227,0.012609489250702096,2.26030302714192
2,33972.399351953536,37488.47147975854,1.6548997435238728,0.283822472999213,0.3927435079954772,0.08352961329089544,10000.0
3,76825.82222629925,46863.46217333455,1.8560743884696937,0.012113145058383106,0.3150692813351058,0.03333438701718201,3014.1625298773906
4,64288.095365935216,877.875298583015,2.666277977715826,0.003076512993929639,0.2021831931143098,0.00426165278264795,4.641588833612779
5,52372.5726661955,431.29173062874656,3.5088689252831595,0.007028203317397755,0.4783113847822959,0.005240071326375412,442.4185553847919
