pulse_index,A_norm,t_s,tau1,tau2,t_peak_s,t_v_s,t_v_err_lower_s,t_v_err_upper_s,mc_kept_fraction,n_samples,seed,model,window,window_start_s,window_stop_s
1,0.43040371173839415,-0.6943097140250677,2.121230390094096,0.49316997492284564,0.3284938537670491,0.5308689710054252,0.24424068265274945,0.20799559852013005,0.5526,10000,12345,SIX,narrow_-1_70,-1.0,70.0
2,0.775698132209275,0.3243438284280202,0.8284950077742951,6.70777611820662,2.6817489754491732,3.974646210610997,0.32314631640370006,0.28625610062802753,0.9454,10000,12345,SIX,narrow_-1_70,-1.0,70.0
3,0.2564539324212964,5.3055397620925175,0.6751569930007993,0.47009049496075833,5.868908988280781,0.40632820979486417,0.12894093141772528,0.10557183187856078,0.7012,10000,12345,SIX,narrow_-1_70,-1.0,70.0
4,0.35558683576295236,4.778021288990266,30.642291759125705,14.374528141319809,25.76536235940899,15.091308245840647,0.5335466378945473,0.4740093232804412,0.9991,10000,12345,SIX,narrow_-1_70,-1.0,70.0
5,0.15109776795502816,54.109082133223325,13.090980970159883,0.8432946927668334,57.431664679262994,1.2104729542286954,0.454743074597569,0.31246776080236693,0.5712,10000,12345,SIX,narrow_-1_70,-1.0,70.0
6,0.15394449793852483,61.56050268059884,0.39193977941798125,2.9220379863222616,62.63067225772674,1.689130371939494,0.360085217961271,0.34299294577071393,0.7725,10000,12345,SIX,narrow_-1_70,-1.0,70.0
1,0.43090298767795965,-0.7215473760978367,2.3640592527841555,0.46679336428880064,0.32894163954448985,0.5182356753527461,0.24053566744911875,0.20947137064085797,0.5126,10000,12345,SEVEN,narrow_-1_70,-1.0,70.0
2,0.7822087145434715,0.3031223013285331,0.8888565609173973,6.1748844796077,2.6458955687631587,3.716286797951588,0.46662471648206916,0.4410218954560352,0.9354,10000,12345,SEVEN,narrow_-1_70,-1.0,70.0
3,0.2651070915519472,5.3130702240090635,0.5759647794393024,0.536534591602777,5.868970419830265,0.4418224547619189,0.13198935524007016,0.11130917376661703,0.7376,10000,12345,SEVEN,narrow_-1_70,-1.0,70.0
4,0.33656233751531234,1.0096370106742392,45.21222578307452,14.116867660554107,26.273346319062732,16.07976724081341,0.9537572189042969,0.7659664433819913,0.9819,10000,12345,SEVEN,narrow_-1_70,-1.0,70.0
5,0.1129769241600556,19.72370419805603,10.448135449392801,1.0219658935756524,22.991369737969528,1.3132115459117562,0.5511418196047394,0.4338895989811329,0.5172,10000,12345,SEVEN,narrow_-1_70,-1.0,70.0
6,0.14669780121536571,53.83367408545724,18.02467349083478,0.7338324745581264,57.470580841325685,1.159532139308072,0.4485094778328631,0.32128434026573616,0.5264,10000,12345,SEVEN,narrow_-1_70,-1.0,70.0
7,0.1524864882001043,61.541298828923544,0.46834051897146484,2.649286849192455,62.655196659900454,1.599691183470301,0.3526419144960964,0.3294264584626987,0.7734,10000,12345,SEVEN,narrow_-1_70,-1.0,70.0
1,0.43035725372015465,-0.691124617190302,2.1042746415981544,0.49208414957654273,0.32646085709984907,0.5314976658092398,0.23168966373246813,0.18272009266295675,0.6242,10000,12345,SIX,wide_-20_150,-20.0,150.0
2,0.7749720404889284,0.33146424043680167,0.8062544660588706,6.830137640492335,2.6781276113623678,4.035651589130545,0.25981871526347255,0.22456485752560518,0.971,10000,12345,SIX,wide_-20_150,-20.0,150.0
3,0.2556631934304903,5.300634152648474,0.7160026291842079,0.4518124207403526,5.869403773099649,0.4056024142937897,0.10852986938862341,0.08798129287639922,0.746,10000,12345,SIX,wide_-20_150,-20.0,150.0
4,0.3519486000070079,5.7411879134397035,25.8257809529171,15.392508186762033,25.67918040885657,15.437968790631345,0.3565053862217358,0.3484555945877599,1.0,10000,12345,SIX,wide_-20_150,-20.0,150.0
5,0.14700764651697118,53.589671372659005,22.196007774026707,0.6858875697508008,57.49146145290385,1.1720823717907651,0.4382257631904376,0.2764880521434576,0.5594,10000,12345,SIX,wide_-20_150,-20.0,150.0
6,0.15371750522471445,61.518963156137374,0.546537444531469,2.486831512295385,62.684787559600544,1.5828134975702952,0.27178797230239504,0.25783072963345965,0.816,10000,12345,SIX,wide_-20_150,-20.0,150.0
1,0.4303510839030574,-0.6909486609884852,2.102634836292909,0.49231856082748415,0.3264824946920639,0.5333208269280414,0.22504136343121922,0.173472679434583,0.6482,10000,12345,SIX,widest_full_range,-25.92,300.608
2,0.7749497672688913,0.3313942252817335,0.8064919802095768,6.829919349677478,2.6783657165856,4.039219923982633,0.24649121429342236,0.2122897547432272,0.9779,10000,12345,SIX,widest_full_range,-25.92,300.608
3,0.25566319124076176,5.300223705262745,0.7180414264224058,0.4514265766285753,5.869559268008799,0.408115851093408,0.10253130923697806,0.08283222165863158,0.763,10000,12345,SIX,widest_full_range,-25.92,300.608
4,0.3519408263712944,5.741510805195073,25.821141514304426,15.395010610949138,25.679332842707996,15.448491562486739,0.33549868173166075,0.32841250447912884,1.0,10000,12345,SIX,widest_full_range,-25.92,300.608
5,0.14692410705492723,53.679527292507935,20.580830860362656,0.7029386350242693,57.48308630383518,1.182335971896214,0.44381776902792014,0.2627974036923668,0.5898,10000,12345,SIX,widest_full_range,-25.92,300.608
6,0.15364305677404985,61.51771817177191,0.553448910587537,2.4787652079011537,62.68898667383076,1.585968295194502,0.2554938540062872,0.24420457986415722,0.8296,10000,12345,SIX,widest_full_range,-25.92,300.608
1,0.43074887287585073,-0.7124895137947072,2.27414755637576,0.4779947128318438,0.33011803852163335,0.5280985999813964,0.2329815328570496,0.18644967389037437,0.588,10000,12345,SEVEN,wide_-20_150,-20.0,150.0
2,0.7800249177835851,0.30719916419460075,0.8787989598471823,6.314079720528467,2.6627896826830337,3.8074770757688987,0.3560937688435146,0.3348302813635313,0.9609,10000,12345,SEVEN,wide_-20_150,-20.0,150.0
3,0.2619818759792893,5.315196045536906,0.5785178216264925,0.5292506307341401,5.868532220015641,0.4420980202628505,0.11636530881131346,0.09755245498298337,0.7713,10000,12345,SEVEN,wide_-20_150,-20.0,150.0
4,0.3328788369166075,2.6046088154071945,36.287425291226974,15.300300520407564,26.167471800783368,16.526264952178114,0.5712107617113933,0.5226693067574288,0.9997,10000,12345,SEVEN,wide_-20_150,-20.0,150.0
5,0.11302437416253674,19.970965195265368,8.06147710444591,1.1211108812946107,22.97726020758563,1.3543526848842997,0.5115924899842256,0.38355945721523055,0.6037,10000,12345,SEVEN,wide_-20_150,-20.0,150.0
6,0.1428147854674012,53.17994594009686,32.28444244910288,0.5860792321471682,57.529801252733094,1.1258375697501917,0.45389506186085093,0.278761603641148,0.5031,10000,12345,SEVEN,wide_-20_150,-20.0,150.0
7,0.15259376977188743,61.46638217712004,0.7552472545407023,2.145330361390074,62.739274499951264,1.4762921874977404,0.2741661206681809,0.25023704123207313,0.8152,10000,12345,SEVEN,wide_-20_150,-20.0,150.0
1,0.430755665325635,-0.7127342484502258,2.2764189419986978,0.4777305946754285,0.3301056121666609,0.5279467901330882,0.22697641488005166,0.17991722587874648,0.6122,10000,12345,SEVEN,widest_full_range,-25.92,300.608
2,0.7800559358158129,0.30723785532705045,0.8786619354543561,6.313294517592771,2.6624982612952395,3.813003666870214,0.3410615625595579,0.31673481839992634,0.9679,10000,12345,SEVEN,widest_full_range,-25.92,300.608
3,0.26201129483840535,5.315156227542029,0.5786098217895546,0.5292653723656612,5.868544104879324,0.4445885158119097,0.11044842226033247,0.09236588182989158,0.7862,10000,12345,SEVEN,widest_full_range,-25.92,300.608
4,0.3328939032436483,2.5888407978743677,36.37161447368751,15.291239678804622,26.172035543757186,16.540751072009886,0.5363443630426303,0.49320041217752575,0.9999,10000,12345,SEVEN,widest_full_range,-25.92,300.608
5,0.1127294821061788,19.750022882993846,10.092225605730963,1.0542373995127556,23.011863111742315,1.3602378186652266,0.5086754296475312,0.36896223647504023,0.6039,10000,12345,SEVEN,widest_full_range,-25.92,300.608
6,0.1427064346943431,53.370048236636435,27.97082945886772,0.6143197137635305,57.5152903220761,1.1317871664509245,0.4367592767591678,0.2688650161054795,0.5417,10000,12345,SEVEN,widest_full_range,-25.92,300.608
7,0.1524676695347207,61.46520242271201,0.759438037790525,2.143842507712558,62.74117873416499,1.4810539445698034,0.2590189306238304,0.2383749297352009,0.8281,10000,12345,SEVEN,widest_full_range,-25.92,300.608
