grb_dir,grb_name,pulse_index,n_pulses,y_max_cts_per_s,detectors,normalized_A_norm,normalized_A_cts_per_s,normalized_t_s,normalized_tau1,normalized_tau2,normalized_t_peak_s,normalized_t_v_s,unnorm_xscale_A_cts_per_s,unnorm_xscale_t_s,unnorm_xscale_tau1,unnorm_xscale_tau2,unnorm_xscale_t_peak_s,unnorm_xscale_t_v_s,sse_normalized_rescaled,sse_unnorm_xscale,sse_ratio_unnorm_over_norm
GRB080916009,GRB080916C,1,6,3241.92,n3+n4,0.4436180896772172,1438.174357286364,-0.8000803294631014,2.7437562438669483,0.468194895029125,0.3333272170896786,0.6278153016308933,1439.3142871950477,-0.798133045168466,2.7296000038014303,0.46906444047615403,0.3333961407153211,0.6279509232993334,72018951.42345369,72008335.6633757,0.9998525976861901
GRB080916009,GRB080916C,2,6,3241.92,n3+n4,0.8130732119457715,2635.918307271236,0.3764778651311856,0.7199897994505419,6.9095669073371715,2.6069077994496324,4.051760513284395,2633.417170306737,0.3808057483831807,0.7118973456365265,6.928529975785392,2.601706939099402,4.053620359064623,72018951.42345369,72008335.6633757,0.9998525976861901
GRB080916009,GRB080916C,3,6,3241.92,n3+n4,0.21435058877042976,694.9074607466316,4.684762628250917,4.602461151928849,0.30140001748426754,5.862549481489658,0.5069202712320426,683.598196507221,4.347841177223127,9.137730992176284,0.2566986217730983,5.8793903771592495,0.5295499979674253,72018951.42345369,72008335.6633757,0.9998525976861901
GRB080916009,GRB080916C,4,6,3241.92,n3+n4,0.36423393887385286,1180.817291113921,5.003640630107107,30.080326338134306,14.57338686172407,25.94098126000896,15.395086043481937,1180.0272347596554,5.014399377496005,30.032267605099136,14.587818153211208,25.9453634869622,15.401434420129224,72018951.42345369,72008335.6633757,0.9998525976861901
GRB080916009,GRB080916C,5,6,3241.92,n3+n4,0.160874154221879,521.541138054994,52.889578248019724,37.29178700644258,0.6039244917421006,57.6352524376392,1.4249168796951974,522.7540786356249,51.82992053970721,70.42653063755259,0.48785921959136,57.69151010870327,1.4180030241760448,72018951.42345369,72008335.6633757,0.9998525976861901
GRB080916009,GRB080916C,6,6,3241.92,n3+n4,0.14015258202672298,454.3634587240738,61.5781598351193,0.25319003844056426,3.3085705744560654,62.493417782874936,1.8476530077975217,456.45983881400593,61.57841905266996,0.24863487491096417,3.306036666323959,62.48505901041643,1.8413180556516473,72018951.42345369,72008335.6633757,0.9998525976861901
GRB131014215,GRB131014A,1,5,130030.37509999998,n9+na+nb,0.10442676568817309,13578.651512912955,-0.6245885795029007,4.15638870727601,0.31353106878363723,0.5169704394148633,0.5097985609248677,13574.949657759558,-0.6489792504872524,4.585453144925266,0.2931890889842661,0.5105054756478858,0.49594263936953853,2892808665.698239,2890342144.8088417,0.9991473612068976
GRB131014215,GRB131014A,2,5,130030.37509999998,n9+na+nb,0.27496678877553876,35754.034684525766,-0.08501968239735372,33.411587948370325,0.05254293413099161,1.2399493228186382,0.22042449351239846,36187.390151495136,-0.3425385186925711,57.20434850502489,0.04388217533730568,1.241838725259715,0.22005224598013204,2892808665.698239,2890342144.8088417,0.9991473612068976
GRB131014215,GRB131014A,3,5,130030.37509999998,n9+na+nb,0.9442801800569712,122785.10601230348,1.1801268856181448,1.0571110203255971,0.3189225119715622,1.760761454030206,0.37492949265948183,123225.67440767855,1.1831390227700582,1.0377557833801594,0.3203655878045508,1.7597335436772177,0.37465529054168734,2892808665.698239,2890342144.8088417,0.9991473612068976
GRB131014215,GRB131014A,4,5,130030.37509999998,n9+na+nb,0.46685499255380924,60705.32979907951,2.467823249304435,0.04992429364227548,1.0709480118694668,2.6990511088287197,0.5562441714136059,60657.47847640408,2.4678708036256625,0.04988060540498107,1.0713369807038584,2.6990394372900353,0.5563506337112765,2892808665.698239,2890342144.8088417,0.9991473612068976
