window,window_min_s,window_max_s,pulse_index,y_max_cts_per_s,normalized_A_norm,normalized_A_cts_per_s,normalized_t_s,normalized_tau1,normalized_tau2,normalized_t_peak_s,normalized_t_v_s,unnorm_xscale_A_cts_per_s,unnorm_xscale_t_s,unnorm_xscale_tau1,unnorm_xscale_tau2,unnorm_xscale_t_peak_s,unnorm_xscale_t_v_s,sse_normalized_rescaled,sse_unnorm_xscale,sse_ratio_unnorm_over_norm
narrow_-1_160,-1.0,160.0,1,13038.177399999997,0.14391465752317506,1876.3848352474006,-0.2914749251021048,0.08673216557282476,1.806373706881582,0.10434157712039044,0.9420843443040056,1875.6068682167672,-0.2914589994505161,0.08650200308318513,1.8092105419264972,0.10414223395991817,0.9430075530691279,225865378.36973011,225557997.1662227,0.9986390955279376
narrow_-1_160,-1.0,160.0,2,13038.177399999997,0.36772239622988173,4794.429835998288,4.494677491507877,4.642512407281507,15.646490929033833,13.01753078535596,11.038040030983671,4790.45821749253,4.506269639921539,4.6052311242839625,15.713855582037228,13.013086718529797,11.059628050745546,225865378.36973011,225557997.1662227,0.9986390955279376
narrow_-1_160,-1.0,160.0,3,13038.177399999997,0.5660191162065686,7379.8576488924555,10.956712332551893,6.028487339965229,1.5363165615670953,14.000010698073444,1.8773087558815444,7383.398134394302,10.954196763915172,6.038839268802718,1.5365179203497463,14.000306537811566,1.878238931539739,225865378.36973011,225557997.1662227,0.9986390955279376
narrow_-1_160,-1.0,160.0,4,13038.177399999997,0.27570015805755343,3594.6275699624202,22.881625477320608,52.29197237353801,1.0162057645669993,30.17130336914598,2.293194788207649,3577.607661483488,22.83960092144279,53.872794664017356,0.992607375639964,30.152229267656,2.2692731069854397,225865378.36973011,225557997.1662227,0.9986390955279376
narrow_-1_160,-1.0,160.0,5,13038.177399999997,0.057634774415962084,751.4524132442949,23.1739769481846,0.4308653231982743,1.2958305124068628,23.92119072786105,0.9342589264376819,750.276521602088,23.173474399448523,0.4329154819757908,1.2910795083163182,23.92108947929364,0.9323421811088859,225865378.36973011,225557997.1662227,0.9986390955279376
narrow_-1_160,-1.0,160.0,6,13038.177399999997,0.06329222047855525,825.215198639316,22.640684010638633,163.5121875167452,1.4401144819169076,37.98592005355364,3.94549038211626,823.7036430015617,14.55322399956614,550.1777718842942,1.0039509538582336,38.05538345087688,4.0590494763297515,225865378.36973011,225557997.1662227,0.9986390955279376
narrow_-1_160,-1.0,160.0,7,13038.177399999997,0.06896561916045053,899.1859771147929,-0.04112816130970927,1976.3287123373912,7.539757887021614,122.02868791208788,25.392613426623534,905.7401221657844,-0.9599999999999999,2093.9106426895196,7.233854991679756,122.11333567735518,24.967791278601045,225865378.36973011,225557997.1662227,0.9986390955279376
wide_-20_300,-20.0,300.0,1,13038.177399999997,0.1442561837019751,1880.8377141533397,-0.291605705719986,0.08812622520493892,1.789941655057772,0.10556025631266641,0.9367981750447347,1881.7896666865195,-0.291655350434996,0.08848518340056236,1.7862486311131753,0.10590789953040608,0.9356707308627745,361159994.7902957,360063840.01846445,0.996964905339342
wide_-20_300,-20.0,300.0,2,13038.177399999997,0.3697629303202743,4821.034681459574,4.4169484264167185,4.908092812174235,15.125606631950086,13.033089162851399,10.854213340828753,4826.33284453738,4.4009550652306775,4.963318308228841,15.024025330749753,13.036290610963924,10.818470617725847,361159994.7902957,360063840.01846445,0.996964905339342
wide_-20_300,-20.0,300.0,3,13038.177399999997,0.5641662867065904,7355.700129179786,10.98106028843619,5.903695839564724,1.5413723724432467,13.997646713920002,1.8730411556042588,7350.869726192623,10.985851703915694,5.879303066522245,1.5423713468769369,13.997175098938158,1.87219532317264,361159994.7902957,360063840.01846445,0.996964905339342
wide_-20_300,-20.0,300.0,4,13038.177399999997,0.20444555399037379,2665.5974015677707,20.420443842469645,166.63712118548426,0.4879798705557013,29.437957958115227,1.7546232476414032,2699.319554194279,19.566986918107215,218.91775193390313,0.4476104640923352,29.465970529629416,1.7593530857203779,361159994.7902957,360063840.01846445,0.996964905339342
wide_-20_300,-20.0,300.0,5,13038.177399999997,0.05996842845503038,781.8790085958938,23.11760344443419,0.6302607812968545,1.1255021259551994,23.959838476510033,0.8995633100561213,787.2380637314817,23.102984433984265,0.6828101151503725,1.0947332295077234,23.967562320874226,0.8944272229863959,361159994.7902957,360063840.01846445,0.996964905339342
wide_-20_300,-20.0,300.0,6,13038.177399999997,0.1277538755962382,1665.6776935612838,28.521879214926507,1.4292952730357007,6.108468497596438,31.476672803166146,4.122211602843217,1648.530489153732,28.499696997776173,1.517576059030581,6.164504456711228,31.558308509441602,4.199238726505025,361159994.7902957,360063840.01846445,0.996964905339342
wide_-20_300,-20.0,300.0,7,13038.177399999997,0.0695522914587301,906.8351146154275,2.1185955687170956,1930.4030742646767,7.404391548709907,121.67385563153907,24.9034662729211,909.8362572835538,-19.96791813003703,3247.251282843581,6.212662403525964,122.06755617030727,24.825025551883883,361159994.7902957,360063840.01846445,0.996964905339342
full_x.min()_x.max(),-133.184,481.152,1,13038.177399999997,0.14490590683223808,1889.3089195865916,-0.29143993904442683,0.08990383213014755,1.7650883761481606,0.10691694750844671,0.928220556513919,1878.3143253606515,-0.291520792749057,0.08730719987795375,1.799367198317038,0.10483474415852712,0.9398076457160186,584278592.0337515,584602419.4474971,1.000554234603425
full_x.min()_x.max(),-133.184,481.152,2,13038.177399999997,0.36716308873014103,4787.137485595518,4.492213479973791,4.529010028844738,16.56099239295963,13.152750451509423,11.504743318323788,4782.349049142418,4.523074550925708,4.468893336229249,16.53301691486168,13.118671628417813,11.460182320757962,584278592.0337515,584602419.4474971,1.000554234603425
full_x.min()_x.max(),-133.184,481.152,3,13038.177399999997,0.5668035284351773,7390.084954683784,10.88155649045705,6.587198985247658,1.4795221076757024,14.003399940461048,1.8613058907941438,7393.3677259672895,10.888529281772879,6.519219087261641,1.4886516800283915,14.003789535222854,1.8656572618349943,584278592.0337515,584602419.4474971,1.000554234603425
