t,y_data,y_fit,residual
2.95,0.0,0.0,0.0
2.9544998009278283,0.0,0.0,0.0
2.9589996018556564,0.0,0.0,0.0
2.963499402783484,0.0,0.0,0.0
2.967999203711312,0.0,0.0,0.0
2.97249900463914,0.0,0.0,0.0
2.9769988055669683,0.0,0.0,0.0
2.9814986064947964,0.0,0.0,0.0
2.985998407422624,0.0,0.0,0.0
2.990498208350452,0.0,0.0,0.0
2.99499800927828,0.0,0.0,0.0
2.9994978102061083,0.0,0.0,0.0
3.0039976111339364,0.0,0.0,0.0
3.0084974120617645,0.0,0.0,0.0
3.012997212989592,0.0,0.0,0.0
3.01749701391742,0.0,0.0,0.0
3.0219968148452483,0.0,0.0,0.0
3.0264966157730764,0.0,0.0,0.0
3.0309964167009045,0.0,0.0,0.0
3.035496217628732,0.0,0.0,0.0
3.03999601855656,0.0,0.0,0.0
3.0444958194843883,0.0,0.0,0.0
3.0489956204122164,0.0,0.0,0.0
3.0534954213400445,0.0,0.0,0.0
3.0579952222678726,0.0,0.0,0.0
3.0624950231957,0.0,0.0,0.0
3.0669948241235283,0.0,0.0,0.0
3.0714946250513564,0.0,0.0,0.0
3.0759944259791845,0.0,0.0,0.0
3.0804942269070126,0.0,0.0,0.0
3.0849940278348402,0.0,0.0,0.0
3.0894938287626683,0.0,0.0,0.0
3.0939936296904964,0.0,0.0,0.0
3.0984934306183245,0.0,0.0,0.0
3.1029932315461526,0.0,0.0,0.0
3.1074930324739802,0.0,0.0,0.0
3.1119928334018083,7.7e-321,7.7e-321,0.0
3.1164926343296364,5.060008647964656e-308,5.060008647964656e-308,0.0
3.1209924352574645,3.700889069043463e-296,3.700889069043463e-296,0.0
3.1254922361852926,3.813472524946891e-285,3.813472524946891e-285,0.0
3.1299920371131202,6.785534564989711e-275,6.785534564989711e-275,0.0
3.1344918380409483,2.4868885586757355e-265,2.4868885586757355e-265,0.0
3.1389916389687764,2.1886832881794878e-256,2.1886832881794878e-256,0.0
3.1434914398966045,5.289925326677899e-248,5.289925326677899e-248,0.0
3.1479912408244326,3.9505081308614334e-240,3.9505081308614334e-240,0.0
3.1524910417522607,1.0114559372862423e-232,1.0114559372862423e-232,0.0
3.1569908426800883,9.734382692394e-226,9.734382692394e-226,0.0
3.1614906436079164,3.8217165084381976e-219,3.8217165084381976e-219,0.0
3.1659904445357445,6.583647144396132e-213,6.583647144396132e-213,0.0
3.1704902454635726,5.312006877953661e-207,5.312006877953661e-207,0.0
3.1749900463914007,2.1283699925135036e-201,2.1283699925135036e-201,0.0
3.1794898473192283,4.4637113547095575e-196,4.4637113547095575e-196,0.0
3.1839896482470564,5.138458923423174e-191,5.138458923423174e-191,0.0
3.1884894491748845,3.3893395205170754e-186,3.3893395205170754e-186,0.0
3.1929892501027126,1.331864818832832e-181,1.331864818832832e-181,0.0
3.1974890510305407,3.230306448979863e-177,3.230306448979863e-177,0.0
3.201988851958369,4.994261842525171e-173,4.994261842525171e-173,0.0
3.2064886528861964,5.069061582889702e-169,5.069061582889702e-169,0.0
3.2109884538140245,3.4698166354470547e-165,3.4698166354470547e-165,0.0
3.2154882547418526,1.6418195774381782e-161,1.6418195774381782e-161,0.0
3.2199880556696807,5.493190467175189e-158,5.493190467175189e-158,0.0
3.2244878565975084,1.326953156416585e-154,1.326953156416585e-154,0.0
3.2289876575253365,2.3591640782714405e-151,2.3591640782714405e-151,0.0
3.2334874584531645,3.1421674501068055e-148,3.1421674501068055e-148,0.0
3.2379872593809926,3.1870142016512946e-145,3.1870142016512946e-145,0.0
3.2424870603088207,2.499245500404279e-142,2.499245500404279e-142,0.0
3.246986861236649,1.536776912917668e-139,1.536776912917668e-139,0.0
3.251486662164477,7.506878715089751e-137,7.506878715089751e-137,0.0
3.2559864630923046,2.948666504879949e-134,2.948666504879949e-134,0.0
3.2604862640201326,9.419251692964246e-132,9.419251692964246e-132,0.0
3.2649860649479607,2.472891963039886e-129,2.472891963039886e-129,0.0
3.269485865875789,5.388401136543662e-127,5.388401136543662e-127,0.0
3.2739856668036165,9.834864580735783e-125,9.834864580735783e-125,0.0
3.2784854677314446,1.5165630188860367e-122,1.5165630188860367e-122,0.0
3.2829852686592726,1.991722514140309e-120,1.991722514140309e-120,0.0
3.2874850695871007,2.2446441731638374e-118,2.2446441731638374e-118,0.0
3.291984870514929,2.186193827063662e-116,2.186193827063662e-116,0.0
3.296484671442757,1.8524136963078567e-114,1.8524136963078567e-114,0.0
3.3009844723705846,1.3740691004782338e-112,1.3740691004782338e-112,0.0
3.3054842732984127,8.975397383694124e-111,8.975397383694124e-111,0.0
3.3099840742262407,5.191326195357718e-109,5.191326195357718e-109,0.0
3.314483875154069,2.6726975823899224e-107,2.6726975823899224e-107,0.0
3.318983676081897,1.2308570104104187e-105,1.2308570104104187e-105,0.0
3.3234834770097246,5.094153610463938e-104,5.094153610463938e-104,0.0
3.3279832779375527,1.9030605889009353e-102,1.9030605889009353e-102,0.0
3.3324830788653808,6.443998982699351e-101,6.443998982699351e-101,0.0
3.336982879793209,1.9855930007497287e-99,1.9855930007497287e-99,0.0
3.341482680721037,5.588258209774415e-98,5.588258209774415e-98,0.0
3.345982481648865,1.4416154996493082e-96,1.4416154996493082e-96,0.0
3.3504822825766927,3.420311082753862e-95,3.420311082753862e-95,0.0
3.3549820835045208,7.486995124725275e-94,7.486995124725275e-94,0.0
3.359481884432349,1.5166614097527636e-92,1.5166614097527636e-92,0.0
3.363981685360177,2.8513943517865693e-91,2.8513943517865693e-91,0.0
3.3684814862880046,4.988855585681891e-90,4.988855585681891e-90,0.0
3.3729812872158327,8.144224055726957e-89,8.144224055726957e-89,0.0
3.3774810881436608,1.2435975946547645e-87,1.2435975946547645e-87,0.0
3.381980889071489,1.7803973800899975e-86,1.7803973800899975e-86,0.0
3.386480689999317,2.39518302128819e-85,2.39518302128819e-85,0.0
3.390980490927145,3.034435469485696e-84,3.034435469485696e-84,0.0
3.395480291854973,3.6276456547454516e-83,3.6276456547454516e-83,0.0
3.3999800927828008,4.1004338101149104e-82,4.1004338101149104e-82,0.0
3.404479893710629,4.390410763804257e-81,4.390410763804257e-81,0.0
3.408979694638457,4.460952082635012e-80,4.460952082635012e-80,0.0
3.413479495566285,4.3086365612876786e-79,4.3086365612876786e-79,0.0
3.4179792964941127,3.9623508046741207e-78,3.9623508046741207e-78,0.0
3.422479097421941,3.474940006918589e-77,3.474940006918589e-77,0.0
3.426978898349769,2.9105489564718594e-76,2.9105489564718594e-76,0.0
3.431478699277597,2.3316341311689194e-75,2.3316341311689194e-75,0.0
3.435978500205425,1.788968508153973e-74,1.788968508153973e-74,0.0
3.440478301133253,1.3163646437891709e-73,1.3163646437891709e-73,0.0
3.444978102061081,9.301053337029921e-73,9.301053337029921e-73,0.0
3.449477902988909,6.318290517630671e-72,6.318290517630671e-72,0.0
3.453977703916737,4.131299852621817e-71,4.131299852621817e-71,0.0
3.458477504844565,2.6030451743231707e-70,2.6030451743231707e-70,0.0
3.4629773057723927,1.5821722580883296e-69,1.5821722580883296e-69,0.0
3.467477106700221,9.286542349604454e-69,9.286542349604454e-69,0.0
3.471976907628049,5.268857837023473e-68,5.268857837023473e-68,0.0
3.476476708555877,2.8924018122159703e-67,2.8924018122159703e-67,0.0
3.480976509483705,1.5377381858952657e-66,1.5377381858952657e-66,0.0
3.485476310411533,7.924553914987505e-66,7.924553914987505e-66,0.0
3.4899761113393613,3.961947398289589e-65,3.961947398289589e-65,0.0
3.494475912267189,1.9232833646205072e-64,1.9232833646205072e-64,0.0
3.498975713195017,9.072454731290716e-64,9.072454731290716e-64,0.0
3.503475514122845,4.161857493626926e-63,4.161857493626926e-63,0.0
3.507975315050673,1.8580291661249078e-62,1.8580291661249078e-62,0.0
3.512475115978501,8.07851485802259e-62,8.07851485802259e-62,0.0
3.516974916906329,3.4231359138110094e-61,3.4231359138110094e-61,0.0
3.521474717834157,1.4145553748087715e-60,1.4145553748087715e-60,0.0
3.525974518761985,5.704251049424397e-60,5.704251049424397e-60,0.0
3.530474319689813,2.2461065733330695e-59,2.2461065733330695e-59,0.0
