r0,success,chi2,amplitude,t_peak_s,t_v_s,in_flat_zone
0.1,True,192.2932468804501,23.330351999180273,15.094364984969076,0.5844704886648824,True
0.1615598098439874,True,191.57995953525614,22.845384884346004,15.11019729925871,0.617263055392974,True
0.2610157215682537,True,190.92108019632542,22.406417575677082,15.120622299979285,0.6538245140103236,True
0.4216965034285822,True,190.30835805836176,22.026047131254785,15.125142835170761,0.6938596956677778,True
0.6812920690579614,True,189.74828474960964,21.70994687752621,15.12357094488433,0.736991464637345,True
1.1006941712522098,True,189.25442280254043,21.459991919913872,15.115793650216839,0.7828302563164466,True
1.7782794100389228,True,188.8385240998716,21.276213556763878,15.101635929765889,0.8310587039243676,True
2.872984833353666,True,188.50570858946276,21.15784560099422,15.080998270339382,0.8813782299725585,True
4.641588833612779,True,188.25368928689468,21.10321614701662,15.053940153963758,0.9334882703024019,True
7.498942093324558,True,188.07441426985662,21.109449850529323,15.020760050568446,0.9870488113659664,True
12.115276586285889,True,187.95654523633607,21.172448819669356,14.981969132404757,1.0416843892939152,True
19.573417814876617,True,187.8877384240322,21.28673350705583,14.938323183558218,1.09695190931076,True
31.622776601683793,True,187.85740633647126,21.37404972587189,14.900000000000606,1.1492514277188943,True
51.089697745069294,True,187.8943093704081,21.182519069062252,14.900000000000002,1.1865900734579737,True
82.5404185268019,True,188.0013967756742,21.00930729802382,14.900000000000002,1.2213222074248686,True
133.3521432163324,True,188.16121678455272,20.853162663200266,14.900000000000002,1.2534356748159337,True
215.44346900318845,True,188.35838604616455,20.712783465299314,14.900000000132726,1.282972381044534,True
348.0700588428413,True,188.57987750971358,20.58691191162673,14.900000000039373,1.3100122769749711,True
562.341325190349,True,188.81503638639384,20.47423815164854,14.900000000000636,1.3346697322211096,True
908.5175756516871,True,189.05542396577704,20.37344272498824,14.900000000000002,1.3570837148376285,True
1467.7992676220706,True,189.29456785361907,20.2835420753334,14.900000000000206,1.3773868113621353,True
2371.373705661655,True,189.5276743478344,20.20339881558706,14.900000000001691,1.3957330093548268,True
3831.186849557293,True,189.7513396771331,20.132020329109388,14.90000000000588,1.4122729995947179,True
6189.65818891261,True,189.9632813998887,20.068499159265333,14.900000000015957,1.4271546802273964,True
10000.0,True,190.16210082714798,20.012006409235383,14.900000000037606,1.4405209702539041,True
