r0,success,chi2,amplitude,t_peak_s,t_v_s,in_flat_zone
0.1,True,590.7811891871725,23.92196594357574,14.770548755665175,0.6472872395860287,False
0.1615598098439874,True,579.5751351662528,23.555498386537284,14.814295150253745,0.6751929522430139,False
0.2610157215682537,True,568.4874172768579,23.205745829444343,14.85897507481175,0.7039460866004171,False
0.4216965034285822,True,558.0274127312446,22.87210159754442,14.902953354499093,0.733269551499511,False
0.6812920690579614,True,548.6442556662472,22.552498670998094,14.944498186092568,0.763061187231008,False
1.1006941712522098,True,540.6345491577381,22.244284690177246,14.982075377183289,0.7934006795144021,False
1.7782794100389228,True,534.1015190610663,21.946508543093458,15.014625977734424,0.8244115789497201,False
2.872984833353666,True,528.9805611277341,21.6610665465518,15.041664644938695,0.8561090895310873,False
4.641588833612779,True,525.1018597928119,21.391182665948477,15.063200352663186,0.8883788299276643,True
7.498942093324558,True,522.2528946876515,21.140352507917157,15.0795822496659,0.9209809820436157,True
12.115276586285889,True,520.2217607933123,20.911255657998073,15.09134701163343,0.9536050077344226,True
19.573417814876617,True,518.819962942586,20.705108196788597,15.099122650323961,0.9859277497907486,True
31.622776601683793,True,517.8907190823932,20.52200432360621,15.103551389280806,1.017633013577736,True
51.089697745069294,True,517.3091139229059,20.3610825477525,15.10524801261629,1.048437527772322,True
82.5404185268019,True,516.978499751758,20.220845910883355,15.104775473463159,1.0781014778474363,True
133.3521432163324,True,516.8256675879935,20.099438113676996,15.10263392771138,1.1064321874533272,True
215.44346900318845,True,516.7960554058866,19.994854580401064,15.099249429799725,1.1332888524060403,True
348.0700588428413,True,516.849535538451,19.905081113949606,15.094983032105588,1.1585759520488235,True
562.341325190349,True,516.9569428825563,19.828223888684438,15.090136765316911,1.1822344074256752,True
908.5175756516871,True,517.0973238064846,19.7625243040042,15.084949088901096,1.2042466309919888,True
1467.7992676220706,True,517.2558114028818,19.706406677385313,15.079609857367705,1.224623703168359,True
2371.373705661655,True,517.4220129223515,19.658480269904256,15.074265505020492,1.243401278161068,True
3831.186849557293,True,517.5888008136166,19.617533757669552,15.06902622299467,1.2606339309672105,True
6189.65818891261,True,517.7514142360817,19.582521913223207,15.06397156046726,1.276390888687707,True
10000.0,True,517.9067955776143,19.552550170219178,15.059157096239817,1.290750909151658,True
