grb_name,fit_method,episode,pulse_index,n_pulses_total,fit_window_start_s,fit_window_end_s,energy_low_keV,energy_high_keV,detectors,A_norm,A_cts_per_s,y_max_cts_per_s,t_s,tau1,tau2,t_peak_s,t_v_s,t_v_err_lower_s,t_v_err_upper_s,t_v_definition,mc_kept_fraction,n_samples,seed,n_lat_photons_assigned,photon_e_max_MeV,photon_t_arr_at_e_max_s
GRB131014A,unnormalized_xscale,EX0,1,5,-135.936,478.4,10,400,n9+na+nb,0.10438392744511696,13573.08124009974,130030.37509999998,-0.6447718175428429,4.524113727212344,0.2950112880002784,0.5105050400651739,0.46441665451929903,0.09704524459572478,0.04398619790598657,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.8858,10000,12345,0,,
GRB131014A,unnormalized_xscale,EX0,2,5,-135.936,478.4,10,400,n9+na+nb,0.27815164592422525,36168.16285420939,130030.37509999998,-0.33794686460698836,56.73787762468424,0.04398374652098565,1.2417823614260097,0.19237534943437834,0.06884603869948014,0.02522377518483032,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.612,10000,12345,0,,
GRB131014A,unnormalized_xscale,TR1,2,5,-135.936,478.4,10,400,n9+na+nb,0.27815164592422525,36168.16285420939,130030.37509999998,-0.33794686460698836,56.73787762468424,0.04398374652098565,1.2417823614260097,0.19237534943437834,0.06884603869948014,0.02522377518483032,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",0.612,10000,12345,0,,
GRB131014A,unnormalized_xscale,EX0,3,5,-135.936,478.4,10,400,n9+na+nb,0.9475601387704934,123211.60027413529,130030.37509999998,1.1831463007059309,1.037583501738216,0.32039863015439773,1.7597226899447962,0.3745617949928999,0.0014207690229420256,0.0014465521074749077,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",1.0,10000,12345,7,1232.922607421875,1.9835121631622314
GRB131014A,unnormalized_xscale,TR1,3,5,-135.936,478.4,10,400,n9+na+nb,0.9475601387704934,123211.60027413529,130030.37509999998,1.1831463007059309,1.037583501738216,0.32039863015439773,1.7597226899447962,0.3745617949928999,0.0014207690229420256,0.0014465521074749077,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",1.0,10000,12345,7,1232.922607421875,1.9835121631622314
GRB131014A,unnormalized_xscale,TR2,4,5,-135.936,478.4,10,400,n9+na+nb,0.4664358116361629,60650.82354712319,130030.37509999998,2.467913271400224,0.04980109135444031,1.0719281547083908,2.698961300948258,0.556421786620364,0.0037502009225773847,0.0035915757873017373,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",1.0,10000,12345,1,445.27899169921875,2.533198297023773
GRB131014A,unnormalized_xscale,EX1,4,5,-135.936,478.4,10,400,n9+na+nb,0.4664358116361629,60650.82354712319,130030.37509999998,2.467913271400224,0.04980109135444031,1.0719281547083908,2.698961300948258,0.556421786620364,0.0037502009225773847,0.0035915757873017373,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",1.0,10000,12345,1,445.27899169921875,2.533198297023773
GRB131014A,unnormalized_xscale,TR2,5,5,-135.936,478.4,10,400,n9+na+nb,0.28240314371052144,36720.9867060983,130030.37509999998,2.5339135671792343,9.92416708899983,0.11288009256554045,3.59232789986856,0.2888223141276375,0.004185213495889684,0.003471091956106176,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",1.0,10000,12345,2,1021.2354125976562,3.183564066886902
GRB131014A,unnormalized_xscale,EX1,5,5,-135.936,478.4,10,400,n9+na+nb,0.28240314371052144,36720.9867060983,130030.37509999998,2.5339135671792343,9.92416708899983,0.11288009256554045,3.59232789986856,0.2888223141276375,0.004185213495889684,0.003471091956106176,"t_v=(tau2/2)*sqrt((ln2+2*sqrt(tau1/tau2))^2-4*tau1/tau2), Bukhari et al. 2022 Adv.Space Res. eq.10, attributed to Norris et al. 2005; = FWHM/2",1.0,10000,12345,2,1021.2354125976562,3.183564066886902
