GRBName,Model,EpisodeName,E_i_peak__1e+03_keV,E_i_peak_err_lower__1e+03_keV,E_i_peak_err_upper__1e+03_keV,E_0_iso__1e+52_erg,E_0_iso_err_lower__1e+52_erg,E_0_iso_err_upper__1e+52_erg
GRB080916C,BAND,T90,2.7608606139315763,0.1466065485340605,0.136587201322729,351.84204153890056,5.024915142623761,4.5235443336022385
GRB080916C,BAND,EX0,2.8857474306480455,0.045911456426808855,0.07669733483943901,71.93848072055826,1.967366768365989,1.7266601351198574
GRB080916C,BAND,TR1,3.051651920627098,0.03626362649095381,0.22223852748904893,62.31624530853379,2.116021029513185,1.3980180756818585
GRB080916C,BAND,TR2,4.190114847601255,0.34256818296257463,1.1179748840954054,93.50451346690011,3.6650433755983434,4.949129709183301
GRB080916C,BAND,TR3,2.5514284553059854,0.07858320977641597,0.15328961415073444,183.38059717231306,4.071588999523224,3.6874853259737974
GRB080916C,BAND,TR4,1.0425052455973254,0.1293732231974932,0.33909133424123206,9.438341359485284,1.3085824714694017,1.1832957927017775
GRB080916C,BAND,EX1,1.1906939543999078,0.3442247511717303,0.1856718962527625,12.719497943684797,1.7541471412428369,0.8632272182648637
GRB080916C,BAND,TR5,1.0358229251620532,0.26062874356820054,0.42487239080633843,7.776028413241252,1.64504560143567,1.0564097039518863
