grb_name,fit_type,n_points,slope,slope_err,intercept,intercept_err
GRB080916C,all,4,-58.419197874207875,17.10793843252905,3672.225448081944,762.2765434945682
GRB080916C,restricted,3,-86.17884316204155,41.07897899982352,4849.913674486487,1769.8518899249327
GRB140206B,all,5,52.60629428189096,16.06540855375464,-782.3806984511027,474.5923644919252
GRB140206B,restricted,2,81.60225063470645,5.507653338808139e-13,-2383.4333294491794,3.1479477464759576e-11
GRB131014A,all,5,16.948949923120505,2.551561859881447,-177.38133371492157,87.14331403865307
GRB231129C,all,4,-7.713677632186071,1.605104669593449,538.3618828291164,55.107890555696606
GRB231129C,restricted,3,24.458310423680693,11.998925767656324,-444.52908415284674,366.6123455841255
