grb_name,episode,model_name,alpha_index,alpha_index_err
GRB080916C,T90,SBPL_BB,-1.2908939123153687,0.024661879986524582
GRB080916C,EX0,BAND_BB,-0.9537985324859619,0.04461246356368065
GRB080916C,TR1,BAND_BB,-0.9382067918777466,0.04474107176065445
GRB080916C,TR2,BAND,-1.152221441268921,0.02524779736995697
GRB080916C,TR3,SBPL,-1.1158697605133057,0.017333809286355972
GRB080916C,TR4,SBPL,-0.9216207265853882,0.11172138154506683
GRB080916C,EX1,SBPL,-1.2138338088989258,0.09683849662542343
GRB080916C,TR5,SBPL,-1.2202844619750977,0.09856811910867691
GRB131014A,T90,BAND_BB,-0.4151588976383209,0.01447307225316763
GRB131014A,EX0,BAND_BB,-0.25715765357017517,0.01985672116279602
GRB131014A,TR1,BAND_BB,-0.24430489540100098,0.020282944664359093
GRB131014A,EX1,BAND_BB,-0.6447368264198303,0.032288096845149994
GRB131014A,TR2,SBPL_BB,-0.6947130560874939,0.03068649210035801
GRB140206B,T90,BAND,-1.3693629503250122,0.009044918231666088
GRB140206B,EX0,BAND_BB,-0.9946557879447937,0.02666851133108139
GRB140206B,TR1,BAND_BB,-1.0233575105667114,0.0280591007322073
GRB140206B,TR2,BAND,-0.8051993250846863,0.014965598471462727
GRB140206B,TR3,BAND,-1.2726571559906006,0.03754361346364021
GRB140206B,TR4,BAND,-1.3045969009399414,0.026989387348294258
GRB140206B,TR5,PL,-2.162787437438965,0.03916868194937706
GRB140206B,TR6,CPL,-1.7743700742721558,0.014415916055440903
GRB231129C,T90,SBPL_BB,-0.730987548828125,0.029142923653125763
GRB231129C,EX0,SBPL_BB,-0.47585466504096985,0.04228713735938072
GRB231129C,TR1,SBPL_BB,-0.5016148686408997,0.043062664568424225
GRB231129C,EX1,SBPL,-0.695003867149353,0.018810825422406197
GRB231129C,TR2,SBPL,-0.5819316506385803,0.019370263442397118
